dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.566050,3.082115,0.000170,0.016972,0.848621,42.431051,6.283184
0.020000,1.566050,3.082115,0.000170,0.000007,-0.848289,-84.845510,6.283184
0.020000,1.566662,3.082115,0.000782,0.030592,1.529273,118.878132,0.000001
0.020000,1.569207,3.082115,0.003327,0.127243,4.832531,165.162871,0.000005
0.020000,1.572769,3.082115,0.006889,0.178105,2.543115,-114.470803,0.000013
0.020000,1.577348,3.082116,0.011467,0.228933,2.541375,-0.086979,0.000029
0.020000,1.582942,3.082116,0.017062,0.279715,2.539138,-0.111862,0.000055
0.020000,1.589551,3.082116,0.023670,0.330443,2.536404,-0.136704,0.000097
0.020000,1.597173,3.082117,0.031293,0.381107,2.533172,-0.161577,0.000158
0.020000,1.605807,3.082119,0.039927,0.431696,2.529443,-0.186463,0.000247
0.020000,1.615451,3.082122,0.049571,0.482200,2.525214,-0.211462,0.000368
0.020000,1.626103,3.082127,0.060223,0.532610,2.520490,-0.236177,0.000529
0.020000,1.637761,3.082134,0.071881,0.582915,2.515263,-0.261377,0.000740
0.020000,1.650424,3.082145,0.084543,0.633106,2.509532,-0.286517,0.001009
0.020000,1.664087,3.082161,0.098207,0.683172,2.503309,-0.311193,0.001346
0.020000,1.678749,3.082184,0.112869,0.733103,2.496567,-0.337057,0.001762
0.020000,1.694407,3.082215,0.128526,0.782890,2.489328,-0.361975,0.002268
0.020000,1.711057,3.082258,0.145177,0.832521,2.481579,-0.387451,0.002877
0.020000,1.728697,3.082315,0.162817,0.881987,2.473306,-0.413664,0.003602
0.020000,1.747322,3.082390,0.181442,0.931278,2.464526,-0.438979,0.004457
0.020000,1.766930,3.082487,0.201050,0.980382,2.455214,-0.465616,0.005458
0.020000,1.787515,3.082611,0.221636,1.029290,2.445379,-0.491722,0.006619
0.020000,1.809074,3.082768,0.243195,1.077990,2.434996,-0.519156,0.007957
0.020000,1.831603,3.082964,0.265725,1.126472,2.424092,-0.545220,0.009491
0.020000,1.855096,3.083208,0.289219,1.174724,2.412624,-0.573368,0.011237
0.020000,1.879549,3.083506,0.313674,1.222736,2.400578,-0.602309,0.013216
0.020000,1.904956,3.083870,0.339084,1.270495,2.387991,-0.629365,0.015448
0.020000,1.931312,3.084310,0.365444,1.317992,2.374803,-0.659374,0.017953
0.020000,1.958612,3.084838,0.392748,1.365212,2.361047,-0.687843,0.020754
0.020000,1.986847,3.085467,0.420991,1.412146,2.346672,-0.718744,0.023874
0.020000,2.016013,3.086214,0.450167,1.458780,2.331707,-0.748234,0.027336
0.020000,2.046103,3.087093,0.480269,1.505102,2.316107,-0.780004,0.031166
0.020000,2.077108,3.088125,0.511291,1.551101,2.299930,-0.808863,0.035389
0.020000,2.109020,3.089328,0.543226,1.596762,2.283079,-0.842530,0.040033
0.020000,2.141832,3.090725,0.576067,1.642076,2.265669,-0.870524,0.045125
0.020000,2.175534,3.092340,0.609808,1.687028,2.247600,-0.903447,0.050694
0.020000,2.210116,3.094199,0.644440,1.731607,2.228970,-0.931477,0.056770
0.020000,2.245568,3.096330,0.679956,1.775803,2.209794,-0.958802,0.063384
0.020000,2.281879,3.098764,0.716348,1.819604,2.190058,-0.986789,0.070567
0.020000,2.319036,3.101535,0.753608,1.863002,2.169899,-1.007951,0.078352
0.020000,2.357026,3.104677,0.791728,1.905988,2.149316,-1.029191,0.086771
0.020000,2.395835,3.108229,0.830699,1.948558,2.128457,-1.042937,0.095858
0.020000,2.435447,3.112232,0.870513,1.990707,2.107447,-1.050483,0.105646
0.020000,2.475846,3.116729,0.911162,2.032435,2.086401,-1.052311,0.116169
0.020000,2.517014,3.121767,0.952637,2.073746,2.065571,-1.041494,0.127461
0.020000,2.558931,3.127395,0.994930,2.114649,2.045145,-1.021326,0.139553
0.020000,2.601576,3.133664,1.038033,2.155158,2.025443,-0.985078,0.152478
0.020000,2.644925,3.140629,1.081939,2.195293,2.006785,-0.932915,0.166265
0.020000,2.688956,3.148349,1.126641,2.235085,1.989554,-0.861531,0.180943
0.020000,2.733640,3.156881,1.172132,2.274569,1.974236,-0.765905,0.196534
