dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.150404,2.832115,0.000170,0.017008,0.850406,42.520275,0.000179
0.020000,1.150404,2.832115,0.000850,0.051024,1.700811,42.520275,0.000118
0.020000,1.150612,2.832115,0.002381,0.102049,2.551217,42.520275,6.283167
0.020000,1.153163,2.832115,0.004932,0.153073,2.551217,-0.000000,6.282941
0.020000,1.156735,2.832114,0.008504,0.204097,2.551217,0.000000,6.282628
0.020000,1.161327,2.832110,0.013096,0.255122,2.551217,-0.000000,6.282230
0.020000,1.166940,2.832104,0.018709,0.306146,2.551217,-0.000000,6.281752
0.020000,1.173573,2.832092,0.025342,0.357170,2.551217,0.000000,6.281197
0.020000,1.181226,2.832075,0.032996,0.408195,2.551217,-0.000000,6.280571
0.020000,1.189901,2.832049,0.041670,0.459219,2.551217,0.000000,6.279881
0.020000,1.199595,2.832013,0.051364,0.510243,2.551217,-0.000000,6.279132
0.020000,1.210310,2.831965,0.062080,0.561268,2.551217,0.000000,6.278333
0.020000,1.222046,2.831904,0.073815,0.612292,2.551217,0.000000,6.277493
0.020000,1.234801,2.831825,0.086571,0.663316,2.551217,0.000000,6.276620
0.020000,1.248578,2.831729,0.100348,0.714341,2.551217,-0.000000,6.275726
0.020000,1.263374,2.831611,0.115145,0.765365,2.551217,0.000000,6.274820
0.020000,1.279191,2.831472,0.130962,0.816389,2.551217,0.000000,6.273915
0.020000,1.296028,2.831308,0.147800,0.867414,2.551217,0.000000,6.273022
0.020000,1.313886,2.831119,0.165659,0.918438,2.551217,0.000000,6.272157
0.020000,1.332764,2.830903,0.184538,0.969462,2.551217,-0.000000,6.271332
0.020000,1.352662,2.830659,0.204437,1.020487,2.551217,0.000000,6.270563
0.020000,1.373580,2.830387,0.225357,1.071511,2.551217,0.000000,6.269864
0.020000,1.395518,2.830088,0.247298,1.122535,2.551217,-0.000000,6.269254
0.020000,1.418477,2.829762,0.270259,1.173560,2.551217,0.000000,6.268748
0.020000,1.442456,2.829411,0.294240,1.224584,2.551217,-0.000000,6.268366
0.020000,1.467455,2.829037,0.319242,1.275608,2.551217,0.000000,6.268126
0.020000,1.493474,2.828644,0.345265,1.326633,2.551217,-0.000000,6.268048
0.020000,1.520514,2.828236,0.372308,1.377657,2.551217,0.000000,6.268152
0.020000,1.548574,2.827818,0.400371,1.428681,2.551217,-0.000000,6.268460
0.020000,1.577655,2.827397,0.429455,1.479706,2.551217,0.000000,6.268994
0.020000,1.607757,2.826981,0.459559,1.530730,2.551217,-0.000000,6.269777
0.020000,1.638879,2.826579,0.490684,1.581754,2.551217,0.000000,6.270833
0.020000,1.671022,2.826203,0.522829,1.632779,2.551217,-0.000000,6.272188
0.020000,1.704186,2.825866,0.555995,1.683803,2.551217,0.000000,6.273868
0.020000,1.738371,2.825581,0.590181,1.734827,2.551217,0.000000,6.275899
0.020000,1.773577,2.825366,0.625388,1.785852,2.551217,-0.000000,6.278309
0.020000,1.809804,2.825239,0.661615,1.836876,2.551217,0.000000,6.281127
0.020000,1.847052,2.825222,0.698863,1.887900,2.551217,-0.000000,0.001199
0.020000,1.885320,2.825338,0.737131,1.938925,2.551217,-0.000000,0.004925
0.020000,1.924608,2.825613,0.776420,1.989949,2.551217,0.000000,0.009153
0.020000,1.964915,2.826077,0.816729,2.040973,2.551217,-0.000000,0.013917
0.020000,2.006239,2.826760,0.858059,2.091998,2.551217,0.000000,0.019250
0.020000,2.048578,2.827700,0.900409,2.143022,2.551217,0.000000,0.025188
0.020000,2.091931,2.828933,0.943780,2.194046,2.551217,0.000000,0.031768
0.020000,2.136295,2.830502,0.988171,2.245071,2.551217,-0.000000,0.039028
0.020000,2.181664,2.832453,1.033583,2.296095,2.551217,0.000000,0.047004
0.020000,2.228035,2.834835,1.080015,2.347119,2.551217,0.000000,0.055738
0.020000,2.275401,2.837701,1.127468,2.398144,2.551217,0.000000,0.065267
0.020000,2.323754,2.841111,1.175941,2.449168,2.551217,-0.000000,0.075632
0.020000,2.373084,2.845125,1.225434,2.500192,2.551217,0.000000,0.086871
0.020000,2.423380,2.849811,1.275948,2.551217,2.551217,0.000000,0.099025
0.020000,2.474628,2.855238,1.327483,2.602241,2.551217,-0.000000,0.112129
0.020000,2.526810,2.861483,1.380038,2.653265,2.551217,-0.000000,0.126220
0.020000,2.579907,2.868626,1.433614,2.704290,2.551217,0.000000,0.141331
0.020000,2.633894,2.876749,1.488210,2.755314,2.551217,0.000000,0.157492
0.020000,2.688745,2.885942,1.543826,2.806338,2.551217,0.000000,0.174726
0.020000,2.744427,2.896294,1.600463,2.857363,2.551217,-0.000000,0.193054
0.020000,2.800903,2.907902,1.658121,2.908387,2.551217,0.000000,0.212487
0.020000,2.858131,2.920861,1.716799,2.959411,2.551217,0.000000,0.233029
0.020000,2.916063,2.935271,1.776497,3.010436,2.551217,0.000000,0.254673
0.020000,2.974646,2.951231,1.837216,3.061460,2.551217,-0.000000,0.277402
0.020000,3.033819,2.968840,1.898956,3.112484,2.551217,0.000000,0.301186
0.020000,3.093518,2.988196,1.961715,3.163508,2.551217,-0.000000,0.325983
0.020000,3.153671,3.009394,2.025496,3.214533,2.551217,0.000000,0.351735
0.020000,3.214201,3.032525,2.090297,3.265557,2.551217,-0.000000,0.378370
0.020000,3.275026,3.057675,2.156118,3.316581,2.551217,0.000000,0.405804
0.020000,3.334946,3.084564,2.222790,3.350598,1.700811,-42.520275,0.440260
0.020000,3.395192,3.114287,2.289972,3.367606,0.850406,-42.520275,0.475436
0.020000,3.454461,3.145952,2.357172,3.352407,-0.759919,-80.516202,0.504964
0.020000,3.512457,3.178946,2.423898,3.320201,-1.610324,-42.520275,0.528564
0.020000,3.569062,3.212713,2.489810,3.270986,-2.460730,-42.520275,0.546242
0.020000,3.624308,3.246787,2.554720,3.219962,-2.551217,-4.524349,0.558182
0.020000,3.678375,3.280824,2.618609,3.168938,-2.551217,0.000000,0.564653
0.020000,3.731449,3.314523,2.681477,3.117913,-2.551217,0.000000,0.565919
0.020000,3.783702,3.347610,2.743325,3.066889,-2.551217,-0.000000,0.562230
0.020000,3.835290,3.379839,2.804153,3.015865,-2.551217,0.000000,0.553820
0.020000,3.886346,3.410985,2.863960,2.964840,-2.551217,0.000000,0.540913
0.020000,3.936987,3.440839,2.922746,2.913816,-2.551217,-0.000000,0.523733
0.020000,3.987303,3.469214,2.980512,2.862792,-2.551217,0.000000,0.502514
0.020000,4.037360,3.495937,3.037258,2.811767,-2.551217,0.000000,0.477515
0.020000,4.087202,3.520855,3.092983,2.760743,-2.551217,0.000000,0.449028
0.020000,4.136844,3.543833,3.147688,2.709719,-2.551217,0.000000,0.417391
0.020000,4.184869,3.564425,3.201372,2.658694,-2.551217,-0.000000,0.398389
0.020000,4.233506,3.584622,3.254035,2.607670,-2.551217,0.000000,0.388679
0.020000,4.281394,3.603955,3.305679,2.556646,-2.551217,0.000000,0.378655
0.020000,4.328526,3.622428,3.356301,2.505621,-2.551217,0.000000,0.368343
0.020000,4.374894,3.640045,3.405903,2.454597,-2.551217,-0.000000,0.357766
0.020000,4.420490,3.656812,3.454485,2.403573,-2.551217,0.000000,0.346952
0.020000,4.465305,3.672739,3.502046,2.352548,-2.551217,-0.000000,0.335925
0.020000,4.509328,3.687836,3.548587,2.301524,-2.551217,0.000000,0.324712
0.020000,4.552551,3.702115,3.594107,2.250500,-2.551217,-0.000000,0.313341
0.020000,4.594962,3.715589,3.638607,2.199475,-2.551217,0.000000,0.301837
0.020000,4.636549,3.728274,3.682086,2.148451,-2.551217,0.000000,0.290229
0.020000,4.677302,3.740188,3.724545,2.097427,-2.551217,-0.000000,0.278543
0.020000,4.717209,3.751348,3.765983,2.046402,-2.551217,0.000000,0.266806
0.020000,4.756258,3.761776,3.806401,1.995378,-2.551217,-0.000000,0.255046
0.020000,4.794438,3.771492,3.845798,1.944354,-2.551217,-0.000000,0.243288
0.020000,4.831738,3.780519,3.884175,1.893329,-2.551217,0.000000,0.231560
0.020000,4.868146,3.788881,3.921532,1.842305,-2.551217,-0.000000,0.219887
0.020000,4.903652,3.796601,3.957868,1.791281,-2.551217,0.000000,0.208294
0.020000,4.938245,3.803706,3.993183,1.740256,-2.551217,-0.000000,0.196806
0.020000,4.971915,3.810221,4.027478,1.689232,-2.551217,-0.000000,0.185445
0.020000,5.004653,3.816174,4.060752,1.638208,-2.551217,0.000000,0.174236
0.020000,5.036449,3.821590,4.093006,1.587183,-2.551217,0.000000,0.163199
0.020000,5.067294,3.826498,4.124240,1.536159,-2.551217,-0.000000,0.152356
0.020000,5.097181,3.830925,4.154452,1.485135,-2.551217,0.000000,0.141726
0.020000,5.126101,3.834898,4.183645,1.434110,-2.551217,-0.000000,0.131327
0.020000,5.154049,3.838446,4.211817,1.383086,-2.551217,-0.000000,0.121178
0.020000,5.181017,3.841595,4.238968,1.332062,-2.551217,0.000000,0.111294
0.020000,5.207000,3.844373,4.265099,1.281037,-2.551217,0.000000,0.101691
0.020000,5.231992,3.846806,4.290210,1.230013,-2.551217,-0.000000,0.092382
0.020000,5.255989,3.848920,4.314300,1.178989,-2.551217,0.000000,0.083380
0.020000,5.278986,3.850742,4.337369,1.127964,-2.551217,-0.000000,0.074698
0.020000,5.300981,3.852295,4.359418,1.076940,-2.551217,0.000000,0.066345
0.020000,5.321968,3.853606,4.380447,1.025916,-2.551217,-0.000000,0.058333
0.020000,5.341946,3.854696,4.400455,0.974891,-2.551217,0.000000,0.050668
0.020000,5.360913,3.855588,4.419443,0.923867,-2.551217,-0.000000,0.043361
0.020000,5.378866,3.856304,4.437410,0.872843,-2.551217,0.000000,0.036416
0.020000,5.395803,3.856866,4.454356,0.821819,-2.551217,0.000000,0.029842
0.020000,5.411724,3.857292,4.470283,0.770794,-2.551217,-0.000000,0.023642
0.020000,5.426626,3.857601,4.485188,0.719770,-2.551217,0.000000,0.017823
0.020000,5.440509,3.857810,4.499073,0.668746,-2.551217,0.000000,0.012388
0.020000,5.453374,3.857937,4.511938,0.617721,-2.551217,-0.000000,0.007341
0.020000,5.465218,3.857997,4.523782,0.566697,-2.551217,0.000000,0.002684
0.020000,5.476041,3.858003,4.534606,0.515673,-2.551217,-0.000000,6.281607
0.020000,5.485844,3.857968,4.544409,0.464648,-2.551217,0.000000,6.277741
0.020000,5.494627,3.857905,4.553192,0.413624,-2.551217,0.000000,6.274273
0.020000,5.502389,3.857824,4.560954,0.362600,-2.551217,0.000000,6.271204
0.020000,5.509130,3.857734,4.567696,0.311575,-2.551217,0.000000,6.268537
0.020000,5.514850,3.857644,4.573417,0.260551,-2.551217,0.000000,6.266271
0.020000,5.519550,3.857560,4.578118,0.209527,-2.551217,0.000000,6.264409
0.020000,5.523230,3.857488,4.581798,0.158502,-2.551217,0.000000,6.262950
0.020000,5.525889,3.857433,4.584458,0.107478,-2.551217,0.000000,6.261895
0.020000,5.527528,3.857398,4.586097,0.056454,-2.551217,0.000000,6.261245
0.020000,5.528299,3.857381,4.586868,0.020628,-1.791298,37.995927,6.260939
0.020000,5.528523,3.857376,4.587092,0.001810,-0.940892,42.520275,6.260850
0.020000,5.528541,3.857375,4.587110,0.000000,-0.090487,42.520275,6.260843
0.020000,5.528541,3.857375,4.587110,0.000000,0.000000,4.524349,6.260843
