dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.566050,2.582115,0.000170,0.016972,0.848621,42.431051,6.283184
0.020000,1.566050,2.582115,0.000170,0.000007,-0.848289,-84.845510,6.283184
0.020000,1.566662,2.582115,0.000783,0.030633,1.531305,118.979720,0.000001
0.020000,1.569209,2.582115,0.003329,0.127344,4.835542,165.211851,0.000005
0.020000,1.572776,2.582115,0.006896,0.178316,2.548611,-114.346538,0.000013
0.020000,1.577362,2.582116,0.011482,0.229323,2.550351,0.086996,0.000029
0.020000,1.582970,2.582116,0.017090,0.280375,2.552588,0.111827,0.000055
0.020000,1.589599,2.582116,0.023719,0.331481,2.555322,0.136712,0.000097
0.020000,1.597252,2.582117,0.031372,0.382652,2.558554,0.161585,0.000158
0.020000,1.605930,2.582119,0.040050,0.433898,2.562283,0.186475,0.000247
0.020000,1.615635,2.582122,0.049755,0.485228,2.566509,0.211300,0.000368
0.020000,1.626368,2.582127,0.060488,0.536653,2.571239,0.236477,0.000529
0.020000,1.638131,2.582134,0.072252,0.588182,2.576464,0.261259,0.000740
0.020000,1.650928,2.582145,0.085048,0.639826,2.582189,0.286224,0.001009
0.020000,1.664760,2.582162,0.098880,0.691594,2.588425,0.311820,0.001346
0.020000,1.679630,2.582185,0.113750,0.743497,2.595153,0.336419,0.001762
0.020000,1.695541,2.582217,0.129661,0.795545,2.602398,0.362229,0.002268
0.020000,1.712496,2.582260,0.146616,0.847748,2.610154,0.387787,0.002877
0.020000,1.730498,2.582318,0.164618,0.900117,2.618413,0.412968,0.003602
0.020000,1.749551,2.582395,0.183671,0.952661,2.627203,0.439506,0.004457
0.020000,1.769658,2.582494,0.203779,1.005391,2.636507,0.465213,0.005458
0.020000,1.790824,2.582622,0.224945,1.058318,2.646349,0.492056,0.006619
0.020000,1.813053,2.582784,0.247175,1.111452,2.656713,0.518207,0.007957
0.020000,1.836348,2.582987,0.270471,1.164805,2.667643,0.546522,0.009491
0.020000,1.860715,2.583239,0.294838,1.218387,2.679113,0.573517,0.011237
0.020000,1.886157,2.583550,0.320283,1.272210,2.691125,0.600572,0.013216
0.020000,1.912680,2.583930,0.346808,1.326284,2.703735,0.630528,0.015448
0.020000,1.940288,2.584390,0.374421,1.380623,2.716903,0.658391,0.017953
0.020000,1.968988,2.584945,0.403125,1.435236,2.730680,0.688837,0.020754
0.020000,1.998783,2.585610,0.432928,1.490137,2.745034,0.717678,0.023874
0.020000,2.029680,2.586400,0.463835,1.545337,2.760011,0.748855,0.027336
0.020000,2.061683,2.587336,0.495852,1.600849,2.775577,0.778323,0.031166
0.020000,2.094798,2.588438,0.528986,1.656685,2.791804,0.811345,0.035389
0.020000,2.129031,2.589729,0.563243,1.712856,2.808591,0.839363,0.040033
0.020000,2.164387,2.591234,0.598630,1.769377,2.826053,0.873083,0.045125
0.020000,2.200870,2.592982,0.635155,1.826259,2.844063,0.900523,0.050694
0.020000,2.238486,2.595004,0.672826,1.883513,2.862691,0.931396,0.056770
0.020000,2.277239,2.597334,0.711649,1.941150,2.881895,0.960175,0.063384
0.020000,2.317133,2.600009,0.751632,1.999182,2.901575,0.983997,0.070567
0.020000,2.358171,2.603069,0.792785,2.057617,2.921763,1.009401,0.078352
0.020000,2.400357,2.606558,0.835114,2.116463,2.942299,1.026815,0.086771
0.020000,2.443690,2.610525,0.878628,2.175726,2.963142,1.042129,0.095858
0.020000,2.488172,2.615020,0.923337,2.235409,2.984163,1.051062,0.105646
0.020000,2.533800,2.620099,0.969247,2.295512,3.005156,1.049634,0.116169
0.020000,2.580572,2.625823,1.016368,2.356032,3.025989,1.041673,0.127461
0.020000,2.628481,2.632256,1.064707,2.416960,3.046369,1.018985,0.139553
0.020000,2.677520,2.639465,1.114272,2.478281,3.066052,0.984143,0.152478
0.020000,2.727676,2.647525,1.165072,2.539974,3.084681,0.931465,0.166265
0.020000,2.778934,2.656511,1.217112,2.602011,3.101857,0.858829,0.180943
0.020000,2.831275,2.666507,1.270399,2.664355,3.117177,0.765980,0.196534
0.020000,2.884675,2.677596,1.324938,2.726956,3.130065,0.644407,0.213061
0.020000,2.939104,2.689867,1.380733,2.789757,3.140060,0.499747,0.230539
0.020000,2.994526,2.703413,1.437787,2.852686,3.146436,0.318774,0.248978
0.020000,3.050900,2.718327,1.496100,2.915661,3.148766,0.116522,0.268382
0.020000,3.108176,2.734706,1.555672,2.978584,3.146119,-0.132372,0.288747
0.020000,3.166298,2.752644,1.616499,3.041348,3.138196,-0.396153,0.310060
0.020000,3.225201,2.772238,1.678576,3.103834,3.124313,-0.694112,0.332299
0.020000,3.284813,2.793583,1.741894,3.165908,3.103714,-1.029973,0.355431
0.020000,3.345054,2.816768,1.806443,3.227441,3.076619,-1.354738,0.379413
0.020000,3.405371,2.841693,1.871706,3.263186,1.787255,-64.468199,0.406154
0.020000,3.469200,2.870616,1.941783,3.503837,12.032555,512.264992,0.444112
0.020000,3.531911,2.901791,2.011815,3.501595,-0.112099,-607.232716,0.477813
0.020000,3.593472,2.934841,2.081687,3.493613,-0.399107,-14.350392,0.506799
0.020000,3.653759,2.969291,2.151123,3.471788,-1.091219,-34.605574,0.530641
0.020000,3.712563,3.004560,2.219692,3.428464,-2.166202,-53.749158,0.548995
0.020000,3.769595,3.039982,2.286830,3.356866,-3.579921,-70.685967,0.561653
0.020000,3.824637,3.074920,2.352023,3.259683,-4.859157,-63.961776,0.568605
0.020000,3.877647,3.108879,2.414978,3.147743,-5.596965,-36.890430,0.570012
0.020000,3.928724,3.141511,2.475589,3.030556,-5.859369,-13.120170,0.566119
0.020000,3.978079,3.172598,2.533919,2.916484,-5.703623,7.787297,0.557173
0.020000,4.025891,3.201959,2.590027,2.805381,-5.555129,7.424708,0.543414
0.020000,4.072307,3.229448,2.643971,2.697245,-5.406791,7.416874,0.525078
0.020000,4.117449,3.254946,2.695816,2.592250,-5.249765,7.851303,0.502418
0.020000,4.161414,3.278367,2.745632,2.490760,-5.074518,8.762361,0.475713
0.020000,4.204286,3.299656,2.793498,2.393318,-4.872072,10.122274,0.445288
0.020000,4.246133,3.318786,2.839510,2.300613,-4.635282,11.839543,0.411521
0.020000,4.290568,3.337663,2.887789,2.413931,5.665919,515.060040,0.396603
0.020000,4.336761,3.356746,2.937768,2.498965,4.251715,-70.710223,0.386843
0.020000,4.382124,3.374962,2.986652,2.444191,-2.738730,-349.522263,0.376775
0.020000,4.426656,3.392318,3.034447,2.389725,-2.723261,0.773468,0.366422
0.020000,4.470354,3.408824,3.081158,2.335574,-2.707552,0.785466,0.355811
0.020000,4.513215,3.424491,3.126793,2.281744,-2.691494,0.802872,0.344967
0.020000,4.555237,3.439331,3.171358,2.228240,-2.675224,0.813517,0.333916
0.020000,4.596414,3.453358,3.214859,2.175066,-2.658697,0.826360,0.322685
