dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.061448,3.123551,0.000169,0.016883,0.844156,42.207792,6.251067
0.020000,1.061416,3.123552,0.000201,0.001589,-0.764698,-80.442705,6.251194
0.020000,1.061345,3.123554,0.000272,0.003570,0.099057,43.187739,6.251480
0.020000,1.063536,3.123485,0.002464,0.109613,5.302113,260.152838,6.251955
0.020000,1.066915,3.123381,0.005844,0.168999,2.969341,-116.638616,6.252617
0.020000,1.071259,3.123250,0.010191,0.217344,2.417250,-27.604548,6.253463
0.020000,1.076572,3.123095,0.015506,0.265733,2.419434,0.109215,6.254490
0.020000,1.082853,3.122918,0.021789,0.314176,2.422165,0.136555,6.255694
0.020000,1.090104,3.122724,0.029043,0.362684,2.425364,0.159951,6.257068
0.020000,1.098327,3.122515,0.037268,0.411265,2.429073,0.185431,6.258609
0.020000,1.107523,3.122297,0.046467,0.459929,2.433216,0.207168,6.260308
0.020000,1.117694,3.122074,0.056641,0.508688,2.437937,0.236037,6.262158
0.020000,1.128843,3.121851,0.067792,0.557550,2.443077,0.256988,6.264152
0.020000,1.140971,3.121633,0.079922,0.606525,2.448751,0.283692,6.266279
0.020000,1.154082,3.121426,0.093035,0.655622,2.454875,0.306234,6.268531
0.020000,1.168178,3.121236,0.107132,0.704853,2.461522,0.332333,6.270896
0.020000,1.183261,3.121069,0.122216,0.754225,2.468609,0.354347,6.273363
0.020000,1.199336,3.120932,0.138291,0.803749,2.476208,0.379942,6.275920
0.020000,1.216404,3.120831,0.155360,0.853434,2.484266,0.402901,6.278554
0.020000,1.234470,3.120772,0.173426,0.903291,2.492813,0.427373,6.281252
0.020000,1.253536,3.120761,0.192492,0.953326,2.501791,0.448891,0.000814
0.020000,1.273607,3.120805,0.212563,1.003552,2.511277,0.474288,0.003594
0.020000,1.294687,3.120911,0.233643,1.053976,2.521204,0.496342,0.006393
0.020000,1.316778,3.121083,0.255735,1.104607,2.531553,0.517467,0.009193
0.020000,1.339886,3.121328,0.278844,1.155455,2.542413,0.543012,0.011978
0.020000,1.364014,3.121651,0.302975,1.206528,2.553655,0.562083,0.014728
0.020000,1.389168,3.122056,0.328131,1.257836,2.565393,0.586894,0.017426
0.020000,1.415351,3.122547,0.354319,1.309387,2.577538,0.607265,0.020052
0.020000,1.442569,3.123127,0.381543,1.361189,2.590119,0.629023,0.022585
0.020000,1.470826,3.123800,0.409808,1.413253,2.603153,0.651709,0.025005
0.020000,1.500127,3.124567,0.439120,1.465585,2.616617,0.673191,0.027291
0.020000,1.530479,3.125429,0.469483,1.518195,2.630502,0.694270,0.029420
0.020000,1.561886,3.126384,0.500905,1.571092,2.644832,0.716487,0.031369
0.020000,1.594355,3.127432,0.533391,1.624285,2.659653,0.741069,0.033114
0.020000,1.627891,3.128570,0.566947,1.677782,2.674869,0.760784,0.034632
0.020000,1.662502,3.129791,0.601578,1.731594,2.690586,0.785836,0.035897
0.020000,1.698193,3.131092,0.637293,1.785729,2.706791,0.810258,0.036882
0.020000,1.734971,3.132462,0.674097,1.840199,2.723471,0.833997,0.037563
0.020000,1.772844,3.133893,0.711997,1.895012,2.740676,0.860283,0.037910
0.020000,1.811820,3.135373,0.751001,1.950181,2.758414,0.886886,0.037895
0.020000,1.851906,3.136886,0.791115,2.005715,2.776715,0.915034,0.037490
0.020000,1.893110,3.138415,0.832348,2.061627,2.795595,0.944020,0.036664
0.020000,1.935441,3.139943,0.874706,2.117929,2.815086,0.974562,0.035385
0.020000,1.978907,3.141445,0.918199,2.174633,2.835206,1.006005,0.033622
0.020000,2.023519,3.142896,0.962834,2.231753,2.855998,1.039589,0.031342
0.020000,2.069284,3.144268,1.008620,2.289302,2.877470,1.073601,0.028509
0.020000,2.116213,3.145528,1.055566,2.347294,2.899613,1.107125,0.025089
0.020000,2.164315,3.146640,1.103681,2.405744,2.922505,1.144599,0.021045
0.020000,2.213600,3.147563,1.152974,2.464666,2.946060,1.177757,0.016339
0.020000,2.264077,3.148254,1.203456,2.524073,2.970373,1.215660,0.010933
0.020000,2.315755,3.148663,1.255135,2.583979,2.995304,1.246527,0.004785
0.020000,2.368643,3.148736,1.308023,2.644396,3.020828,1.276205,6.281042
0.020000,2.422748,3.148413,1.362130,2.705335,3.046956,1.306434,6.273290
0.020000,2.478079,3.147630,1.417466,2.766803,3.073410,1.322670,6.264672
0.020000,2.534640,3.146317,1.474042,2.828806,3.100135,1.336271,6.255146
0.020000,2.592435,3.144397,1.531869,2.891343,3.126874,1.336939,6.244669
0.020000,2.651465,3.141787,1.590957,2.954411,3.153389,1.325772,6.233198
0.020000,2.711730,3.138398,1.651317,3.017996,3.179227,1.291871,6.220692
0.020000,2.773224,3.134134,1.712959,3.082077,3.204046,1.240964,6.207111
0.020000,2.835938,3.128895,1.775891,3.146622,3.227258,1.160596,6.192418
0.020000,2.899858,3.122571,1.840123,3.211587,3.248260,1.050091,6.176579
0.020000,2.964963,3.115048,1.905661,3.276913,3.266285,0.901239,6.159566
0.020000,3.031226,3.106206,1.972511,3.342524,3.280550,0.713259,6.141355
0.020000,3.098612,3.095920,2.040678,3.408326,3.290137,0.479374,6.121931
0.020000,3.167076,3.084061,2.110162,3.474203,3.293847,0.185463,6.101289
0.020000,3.236566,3.070498,2.180963,3.540025,3.291113,-0.136698,6.079431
0.020000,3.307015,3.055098,2.253075,3.605634,3.280412,-0.535036,6.056377
0.020000,3.378347,3.037728,2.326492,3.670858,3.261215,-0.959838,6.032156
0.020000,3.450476,3.018258,2.401202,3.735504,3.232306,-1.445464,6.006814
0.020000,3.523301,2.996564,2.477190,3.799375,3.193565,-1.937029,5.980413
0.020000,3.596711,2.972528,2.554435,3.862261,3.144270,-2.464771,5.953033
0.020000,3.670586,2.946042,2.632915,3.923968,3.085358,-2.945587,5.924767
