dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.053420,2.873680,0.000169,0.016883,0.844156,42.207792,6.251067
0.020000,1.053420,2.873680,0.000844,0.050649,1.688312,42.207792,6.251194
0.020000,1.053420,2.873680,0.002364,0.101299,2.532468,42.207792,6.251480
0.020000,1.055730,2.873607,0.004896,0.151948,2.532468,0.000000,6.251955
0.020000,1.059274,2.873498,0.008442,0.202597,2.532468,-0.000000,6.252617
0.020000,1.063830,2.873360,0.013000,0.253247,2.532468,0.000000,6.253463
0.020000,1.069399,2.873198,0.018571,0.303896,2.532468,-0.000000,6.254490
0.020000,1.075981,2.873013,0.025156,0.354545,2.532468,0.000000,6.255694
0.020000,1.083576,2.872809,0.032753,0.405195,2.532468,0.000000,6.257068
0.020000,1.092183,2.872591,0.041364,0.455844,2.532468,0.000000,6.258609
0.020000,1.101804,2.872363,0.050987,0.506494,2.532468,0.000000,6.260308
0.020000,1.112438,2.872129,0.061623,0.557143,2.532468,-0.000000,6.262158
0.020000,1.124085,2.871896,0.073273,0.607792,2.532468,0.000000,6.264152
0.020000,1.136745,2.871668,0.085935,0.658442,2.532468,-0.000000,6.266279
0.020000,1.150419,2.871453,0.099610,0.709091,2.532468,0.000000,6.268531
0.020000,1.165105,2.871255,0.114299,0.759740,2.532468,-0.000000,6.270896
0.020000,1.180806,2.871081,0.130000,0.810390,2.532468,0.000000,6.273363
0.020000,1.197520,2.870939,0.146714,0.861039,2.532468,-0.000000,6.275920
0.020000,1.215246,2.870833,0.164442,0.911688,2.532468,0.000000,6.278554
0.020000,1.233987,2.870772,0.183182,0.962338,2.532468,-0.000000,6.281252
0.020000,1.253740,2.870761,0.202935,1.012987,2.532468,0.000000,0.000814
0.020000,1.274506,2.870807,0.223701,1.063636,2.532468,-0.000000,0.003594
0.020000,1.296285,2.870916,0.245481,1.114286,2.532468,-0.000000,0.006393
0.020000,1.319076,2.871094,0.268273,1.164935,2.532468,0.000000,0.009193
0.020000,1.342880,2.871346,0.292078,1.215584,2.532468,-0.000000,0.011978
0.020000,1.367696,2.871678,0.316896,1.266234,2.532468,0.000000,0.014728
0.020000,1.393524,2.872094,0.342727,1.316883,2.532468,-0.000000,0.017426
0.020000,1.420364,2.872597,0.369571,1.367532,2.532468,0.000000,0.020052
0.020000,1.448214,2.873191,0.397429,1.418182,2.532468,-0.000000,0.022585
0.020000,1.477076,2.873879,0.426299,1.468831,2.532468,0.000000,0.025005
0.020000,1.506949,2.874660,0.456182,1.519481,2.532468,-0.000000,0.027291
0.020000,1.537833,2.875537,0.487078,1.570130,2.532468,0.000000,0.029420
0.020000,1.569727,2.876507,0.518987,1.620779,2.532468,-0.000000,0.031369
0.020000,1.602632,2.877569,0.551909,1.671429,2.532468,0.000000,0.033114
0.020000,1.636548,2.878719,0.585844,1.722078,2.532468,-0.000000,0.034632
0.020000,1.671474,2.879953,0.620792,1.772727,2.532468,0.000000,0.035897
0.020000,1.707411,2.881262,0.656753,1.823377,2.532468,-0.000000,0.036882
0.020000,1.744360,2.882639,0.693727,1.874026,2.532468,0.000000,0.037563
0.020000,1.782319,2.884073,0.731714,1.924675,2.532468,0.000000,0.037910
0.020000,1.821291,2.885552,0.770714,1.975325,2.532468,0.000000,0.037895
0.020000,1.861276,2.887061,0.810727,2.025974,2.532468,0.000000,0.037490
0.020000,1.902274,2.888583,0.851753,2.076623,2.532468,-0.000000,0.036664
0.020000,1.944285,2.890099,0.893792,2.127273,2.532468,0.000000,0.035385
0.020000,1.987312,2.891586,0.936844,2.177922,2.532468,-0.000000,0.033622
0.020000,2.031353,2.893019,0.980909,2.228571,2.532468,0.000000,0.031342
0.020000,2.076411,2.894369,1.025987,2.279221,2.532468,0.000000,0.028509
0.020000,2.122485,2.895607,1.072078,2.329870,2.532468,0.000000,0.025089
0.020000,2.169576,2.896695,1.119182,2.380519,2.532468,-0.000000,0.021045
0.020000,2.217685,2.897597,1.167299,2.431169,2.532468,0.000000,0.016339
0.020000,2.266810,2.898269,1.216429,2.481818,2.532468,0.000000,0.010933
0.020000,2.316951,2.898666,1.266571,2.532468,2.532468,-0.000000,0.004785
