dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.621403,2.582115,0.000169,0.016883,0.844156,42.207792,6.282919
0.020000,1.621427,2.582115,0.000193,0.001219,-0.783211,-81.368337,6.283016
0.020000,1.621827,2.582115,0.000593,0.019992,0.938657,86.093417,0.000050
0.020000,1.624450,2.582116,0.003216,0.131163,5.558530,230.993617,0.000413
0.020000,1.628122,2.582119,0.006888,0.183585,2.621116,-146.870690,0.000918
0.020000,1.632841,2.582124,0.011607,0.235964,2.618947,-0.108448,0.001561
0.020000,1.638607,2.582136,0.017373,0.288288,2.616206,-0.137064,0.002338
0.020000,1.645418,2.582155,0.024184,0.340544,2.612815,-0.169559,0.003244
0.020000,1.653272,2.582184,0.032038,0.392721,2.608850,-0.198250,0.004272
0.020000,1.662168,2.582227,0.040934,0.444806,2.604242,-0.230374,0.005415
0.020000,1.672104,2.582287,0.050870,0.496787,2.599059,-0.259159,0.006665
0.020000,1.683077,2.582368,0.061843,0.548652,2.593243,-0.290794,0.008012
0.020000,1.695084,2.582473,0.073851,0.600389,2.586849,-0.319677,0.009445
0.020000,1.708123,2.582606,0.086891,0.651986,2.579835,-0.350719,0.010955
0.020000,1.722191,2.582771,0.100959,0.703431,2.572241,-0.379699,0.012528
0.020000,1.737283,2.582972,0.116054,0.754711,2.564040,-0.410076,0.014152
0.020000,1.753398,2.583214,0.132170,0.805817,2.555257,-0.439142,0.015812
0.020000,1.770530,2.583499,0.149305,0.856734,2.545880,-0.468829,0.017493
0.020000,1.788676,2.583832,0.167454,0.907453,2.535921,-0.497977,0.019181
0.020000,1.807832,2.584216,0.186613,0.957960,2.525380,-0.527019,0.020856
0.020000,1.827992,2.584653,0.206778,1.008245,2.514255,-0.556256,0.022503
0.020000,1.849152,2.585147,0.227944,1.058297,2.502559,-0.584787,0.024102
0.020000,1.871307,2.585698,0.250106,1.108102,2.490276,-0.614152,0.025633
0.020000,1.894452,2.586309,0.273259,1.157651,2.477428,-0.642409,0.027076
0.020000,1.918581,2.586979,0.297397,1.206930,2.463988,-0.671989,0.028410
0.020000,1.943689,2.587708,0.322516,1.255930,2.449982,-0.700318,0.029612
0.020000,1.969770,2.588494,0.348609,1.304638,2.435377,-0.730262,0.030658
0.020000,1.996818,2.589336,0.375670,1.353041,2.420195,-0.759112,0.031525
0.020000,2.024826,2.590229,0.403692,1.401129,2.404402,-0.789641,0.032186
0.020000,2.053789,2.591168,0.432670,1.448890,2.388011,-0.819543,0.032617
0.020000,2.083699,2.592148,0.462596,1.496310,2.370992,-0.850940,0.032789
0.020000,2.114550,2.593158,0.493464,1.543376,2.353343,-0.882469,0.032675
0.020000,2.146335,2.594191,0.525265,1.590077,2.335042,-0.915041,0.032245
0.020000,2.179046,2.595235,0.557993,1.636399,2.316067,-0.948758,0.031468
0.020000,2.212677,2.596275,0.591640,1.682327,2.296412,-0.982757,0.030314
0.020000,2.247219,2.597297,0.626197,1.727847,2.276029,-1.019115,0.028750
0.020000,2.282664,2.598281,0.661656,1.772946,2.254937,-1.054599,0.026742
0.020000,2.319004,2.599210,0.698008,1.817607,2.233061,-1.093811,0.024254
0.020000,2.356231,2.600058,0.735244,1.861816,2.210453,-1.130429,0.021251
0.020000,2.394335,2.600802,0.773355,1.905557,2.187013,-1.171997,0.017696
0.020000,2.433306,2.601412,0.812331,1.948813,2.162819,-1.209699,0.013549
0.020000,2.473135,2.601859,0.852163,1.991569,2.137803,-1.250777,0.008771
0.020000,2.513810,2.602107,0.892839,2.033809,2.112012,-1.289557,0.003320
0.020000,2.555321,2.602119,0.934349,2.075519,2.085500,-1.325608,6.280339
0.020000,2.597654,2.601854,0.976683,2.116684,2.058241,-1.362951,6.273415
0.020000,2.640796,2.601268,1.019829,2.157293,2.030423,-1.390873,6.265687
0.020000,2.684732,2.600313,1.063776,2.197334,2.002074,-1.417452,6.257110
0.020000,2.729447,2.598938,1.108512,2.236803,1.973420,-1.432702,6.247640
0.020000,2.774923,2.597087,1.154026,2.275696,1.944656,-1.438228,6.237229
0.020000,2.821142,2.594700,1.200306,2.314017,1.916058,-1.429900,6.225832
0.020000,2.868082,2.591716,1.247341,2.351777,1.888014,-1.402170,6.213404
0.020000,2.915723,2.588066,1.295121,2.388996,1.860937,-1.353845,6.199901
0.020000,2.964038,2.583681,1.343635,2.425704,1.835405,-1.276615,6.185284
