dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.579958,5.672975,0.000169,0.016917,0.845843,42.292169,6.282974
0.020000,1.579935,5.672975,0.000192,0.001125,-0.789591,-81.771697,6.283064
0.020000,1.580493,5.672975,0.000749,0.027865,1.336991,106.329059,0.000081
0.020000,1.582946,5.672976,0.003203,0.122685,4.740989,170.199902,0.000416
0.020000,1.586382,5.672978,0.006639,0.171795,2.455538,-114.272543,0.000882
0.020000,1.590801,5.672983,0.011057,0.220943,2.457383,0.092258,0.001477
0.020000,1.596204,5.672993,0.016460,0.270138,2.459758,0.118750,0.002196
0.020000,1.602592,5.673010,0.022848,0.319391,2.462657,0.144976,0.003035
0.020000,1.609966,5.673036,0.030222,0.368713,2.466083,0.171296,0.003989
0.020000,1.618328,5.673073,0.038585,0.418114,2.470037,0.197696,0.005050
0.020000,1.627680,5.673126,0.047937,0.467604,2.474520,0.224150,0.006212
0.020000,1.638024,5.673197,0.058281,0.517195,2.479519,0.249909,0.007467
0.020000,1.649361,5.673289,0.069618,0.566896,2.485051,0.276623,0.008806
0.020000,1.661695,5.673407,0.081953,0.616718,2.491110,0.302967,0.010219
0.020000,1.675028,5.673553,0.095286,0.666671,2.497680,0.328505,0.011696
0.020000,1.689362,5.673731,0.109622,0.716767,2.504788,0.355356,0.013225
0.020000,1.704701,5.673946,0.124962,0.767015,2.512401,0.380662,0.014795
0.020000,1.721047,5.674202,0.141310,0.817426,2.520539,0.406915,0.016392
0.020000,1.738405,5.674500,0.158671,0.868010,2.529203,0.433178,0.018002
0.020000,1.756777,5.674846,0.177046,0.918777,2.538374,0.458558,0.019610
0.020000,1.776168,5.675242,0.196441,0.969739,2.548059,0.484272,0.021202
0.020000,1.796581,5.675691,0.216859,1.020904,2.558265,0.510291,0.022761
0.020000,1.818021,5.676195,0.238305,1.072283,2.568977,0.535601,0.024269
0.020000,1.840491,5.676757,0.260782,1.123888,2.580205,0.561408,0.025709
0.020000,1.863998,5.677378,0.284297,1.175727,2.591945,0.586982,0.027062
0.020000,1.888544,5.678058,0.308853,1.227810,2.604193,0.612382,0.028309
0.020000,1.914137,5.678797,0.334456,1.280150,2.616960,0.638387,0.029428
0.020000,1.940780,5.679595,0.361111,1.332754,2.630236,0.663768,0.030399
0.020000,1.968479,5.680449,0.388824,1.385635,2.644036,0.690036,0.031199
0.020000,1.997241,5.681356,0.417600,1.438802,2.658352,0.715786,0.031807
0.020000,2.027071,5.682311,0.447445,1.492266,2.673200,0.742409,0.032197
0.020000,2.057976,5.683310,0.478366,1.546038,2.688577,0.768839,0.032345
0.020000,2.089962,5.684344,0.510369,1.600127,2.704494,0.795841,0.032227
0.020000,2.123036,5.685404,0.543460,1.654547,2.720958,0.823220,0.031814
0.020000,2.157205,5.686480,0.577646,1.709306,2.737977,0.850960,0.031082
0.020000,2.192477,5.687558,0.612934,1.764417,2.755560,0.879111,0.030000
0.020000,2.228859,5.688624,0.649332,1.819892,2.773718,0.907933,0.028540
0.020000,2.266359,5.689661,0.686847,1.875741,2.792448,0.936468,0.026673
0.020000,2.304986,5.690648,0.725486,1.931976,2.811766,0.965904,0.024366
0.020000,2.344748,5.691563,0.765258,1.988610,2.831677,0.995571,0.021589
0.020000,2.385653,5.692381,0.806171,2.045653,2.852159,1.024110,0.018309
0.020000,2.427710,5.693072,0.848234,2.103117,2.873235,1.053801,0.014491
0.020000,2.470927,5.693605,0.891454,2.161014,2.894851,1.080777,0.010102
0.020000,2.515312,5.693945,0.935841,2.219355,2.917011,1.107980,0.005106
0.020000,2.560875,5.694051,0.981404,2.278148,2.939653,1.132129,6.282651
0.020000,2.607623,5.693880,1.028152,2.337402,2.962725,1.153615,6.276331
0.020000,2.655563,5.693385,1.076095,2.397125,2.986135,1.170484,6.269292
0.020000,2.704702,5.692513,1.125241,2.457321,3.009783,1.182390,6.261499
0.020000,2.755044,5.691208,1.175601,2.517991,3.033516,1.186676,6.252911
0.020000,2.806596,5.689406,1.227184,2.579134,3.057155,1.181907,6.243492
0.020000,2.859358,5.687042,1.279998,2.640743,3.080466,1.165578,6.233204
0.020000,2.913330,5.684042,1.334055,2.702807,3.103183,1.135826,6.222011
0.020000,2.968512,5.680329,1.389361,2.765306,3.124952,1.088490,6.209877
0.020000,3.024896,5.675820,1.445925,2.828213,3.145366,1.020652,6.196771
0.020000,3.082474,5.670426,1.503755,2.891493,3.163991,0.931261,6.182662
0.020000,3.141231,5.664053,1.562857,2.955098,3.180224,0.811680,6.167525
0.020000,3.201149,5.656604,1.623236,3.018968,3.193538,0.665661,6.151337
0.020000,3.262203,5.647974,1.684897,3.083033,3.203206,0.483420,6.134084
0.020000,3.324361,5.638057,1.747841,3.147203,3.208504,0.264926,6.115757
0.020000,3.385634,5.627112,1.810084,3.112172,-1.751529,-248.001655,6.097473
0.020000,3.455373,5.612302,1.881378,3.564709,22.626865,1218.919663,6.051021
0.020000,3.525852,5.593918,1.954215,3.641838,3.856444,-938.521029,6.005281
0.020000,3.596094,5.572167,2.027748,3.676652,1.740664,-105.789014,5.960818
0.020000,3.665669,5.547255,2.101648,3.694984,0.916618,-41.202296,5.918273
0.020000,3.733988,5.519562,2.175367,3.685941,-0.452137,-68.437746,5.878328
0.020000,3.800391,5.489633,2.248203,3.641789,-2.207599,-87.773105,5.841607
0.020000,3.864370,5.458064,2.319547,3.567209,-3.728983,-76.069202,5.808513
0.020000,3.925725,5.425371,2.389068,3.476088,-4.556098,-41.355762,5.779173
0.020000,3.984474,5.391961,2.456653,3.379238,-4.842497,-14.319904,5.753524
0.020000,4.040785,5.358133,2.522344,3.284529,-4.735411,5.354279,5.731393
0.020000,4.094829,5.324143,2.586188,3.192200,-4.616461,5.947472,5.712590
0.020000,4.146775,5.290210,2.648234,3.102325,-4.493755,6.135343,5.696918
0.020000,4.196783,5.256521,2.708532,3.014874,-4.372572,6.059109,5.684183
0.020000,4.245004,5.223233,2.767126,2.929734,-4.257000,5.778608,5.674200
0.020000,4.291577,5.190483,2.824062,2.846762,-4.148596,5.420208,5.666795
0.020000,4.336627,5.158384,2.879378,2.765793,-4.048423,5.008679,5.661808
0.020000,4.380269,5.127036,2.933111,2.686663,-3.956527,4.594764,5.659092
0.020000,4.422602,5.096522,2.985295,2.609213,-3.872506,4.201066,5.658511
0.020000,4.463716,5.066914,3.035961,2.533300,-3.795650,3.842822,5.659944
0.020000,4.503689,5.038271,3.085137,2.458800,-3.724991,3.532924,5.663276
0.020000,4.542590,5.010646,3.132849,2.385610,-3.659505,3.274316,5.668404
0.020000,4.580477,4.984080,3.179122,2.313644,-3.598259,3.062291,5.675228
0.020000,4.617401,4.958608,3.223979,2.242846,-3.539922,2.916866,5.683656
0.020000,4.653402,4.934257,3.267442,2.173170,-3.483782,2.806957,5.693598
0.020000,4.688516,4.911047,3.309534,2.104601,-3.428485,2.764863,5.704965
0.020000,4.722773,4.888992,3.350277,2.037131,-3.373479,2.750307,5.717669
0.020000,4.756196,4.868099,3.389693,1.970771,-3.317981,2.774888,5.731622
0.020000,4.788803,4.848370,3.427804,1.905552,-3.260956,2.851261,5.746733
0.020000,4.820608,4.829798,3.464634,1.841505,-3.202390,2.928302,5.762907
0.020000,4.851623,4.812375,3.500207,1.778675,-3.141498,3.044609,5.780047
0.020000,4.881855,4.796084,3.534549,1.717107,-3.078395,3.155126,5.798052
0.020000,4.911310,4.780904,3.567686,1.656846,-3.013028,3.268387,5.816818
0.020000,4.939992,4.766809,3.599645,1.597937,-2.945458,3.378496,5.836237
0.020000,4.967905,4.753768,3.630453,1.540412,-2.876238,3.460983,5.856198
0.020000,4.995048,4.741748,3.660139,1.484296,-2.805789,3.522471,5.876588
0.020000,5.021424,4.730710,3.688731,1.429600,-2.734828,3.548027,5.897293
0.020000,5.047032,4.720615,3.716257,1.376318,-2.664094,3.536716,5.918201
0.020000,5.071873,4.711419,3.742746,1.324429,-2.594442,3.482599,5.939200
0.020000,5.095947,4.703077,3.768224,1.273895,-2.526697,3.387225,5.960182
0.020000,5.119253,4.695544,3.792717,1.224659,-2.461795,3.245109,5.981043
0.020000,5.141791,4.688772,3.816250,1.176658,-2.400078,3.085850,6.001684
0.020000,5.163560,4.682715,3.838846,1.129804,-2.342709,2.868431,6.022013
0.020000,5.184559,4.677325,3.860527,1.084006,-2.289884,2.641280,6.041947
0.020000,5.204788,4.672556,3.881310,1.039167,-2.241922,2.398094,6.061407
0.020000,5.224244,4.668362,3.901213,0.995181,-2.199338,2.129185,6.080326
0.020000,5.242927,4.664697,3.920252,0.951945,-2.161774,1.878223,6.098645
0.020000,5.260834,4.661517,3.938440,0.909356,-2.129463,1.615544,6.116311
0.020000,5.277963,4.658781,3.955786,0.867309,-2.102350,1.355644,6.133280
0.020000,5.294312,4.656447,3.972300,0.825722,-2.079352,1.149878,6.149517
0.020000,5.309878,4.654477,3.987990,0.784489,-2.061653,0.884977,6.164992
