dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.579905,5.422975,0.000169,0.016917,0.845843,42.292169,6.282974
0.020000,1.579905,5.422975,0.000846,0.050751,1.691687,42.292169,6.283064
0.020000,1.580513,5.422975,0.002368,0.101501,2.537530,42.292169,0.000081
0.020000,1.583050,5.422976,0.004906,0.152252,2.537530,0.000000,0.000416
0.020000,1.586603,5.422978,0.008458,0.203002,2.537530,0.000000,0.000882
0.020000,1.591170,5.422983,0.013026,0.253753,2.537530,0.000000,0.001477
0.020000,1.596753,5.422994,0.018609,0.304504,2.537530,-0.000000,0.002196
0.020000,1.603350,5.423011,0.025206,0.355254,2.537530,0.000000,0.003035
0.020000,1.610963,5.423038,0.032819,0.406005,2.537530,-0.000000,0.003989
0.020000,1.619590,5.423077,0.041446,0.456755,2.537530,0.000000,0.005050
0.020000,1.629233,5.423131,0.051089,0.507506,2.537530,0.000000,0.006212
0.020000,1.639890,5.423204,0.061747,0.558257,2.537530,0.000000,0.007467
0.020000,1.651563,5.423299,0.073419,0.609007,2.537530,-0.000000,0.008806
0.020000,1.664250,5.423420,0.086107,0.659758,2.537530,0.000000,0.010219
0.020000,1.677951,5.423570,0.099810,0.710508,2.537530,-0.000000,0.011696
0.020000,1.692668,5.423753,0.114527,0.761259,2.537530,0.000000,0.013225
0.020000,1.708399,5.423974,0.130260,0.812010,2.537530,-0.000000,0.014795
0.020000,1.725145,5.424235,0.147008,0.862760,2.537530,0.000000,0.016392
0.020000,1.742905,5.424541,0.164770,0.913511,2.537530,0.000000,0.018002
0.020000,1.761679,5.424894,0.183548,0.964261,2.537530,-0.000000,0.019610
0.020000,1.781468,5.425298,0.203341,1.015012,2.537530,0.000000,0.021202
0.020000,1.802271,5.425756,0.224148,1.065763,2.537530,-0.000000,0.022761
0.020000,1.824087,5.426269,0.245971,1.116513,2.537530,0.000000,0.024269
0.020000,1.846918,5.426840,0.268809,1.167264,2.537530,-0.000000,0.025709
0.020000,1.870762,5.427469,0.292662,1.218014,2.537530,-0.000000,0.027062
0.020000,1.895621,5.428158,0.317530,1.268765,2.537530,0.000000,0.028309
0.020000,1.921493,5.428906,0.343412,1.319516,2.537530,0.000000,0.029428
0.020000,1.948378,5.429711,0.370310,1.370266,2.537530,-0.000000,0.030399
0.020000,1.976278,5.430571,0.398223,1.421017,2.537530,0.000000,0.031199
0.020000,2.005192,5.431482,0.427151,1.471767,2.537530,-0.000000,0.031807
0.020000,2.035119,5.432441,0.457094,1.522518,2.537530,0.000000,0.032197
0.020000,2.066061,5.433440,0.488052,1.573269,2.537530,-0.000000,0.032345
0.020000,2.098017,5.434473,0.520025,1.624019,2.537530,-0.000000,0.032227
0.020000,2.130988,5.435530,0.553012,1.674770,2.537530,0.000000,0.031814
0.020000,2.164974,5.436600,0.587015,1.725521,2.537530,-0.000000,0.031082
0.020000,2.199976,5.437671,0.622033,1.776271,2.537530,0.000000,0.030000
0.020000,2.235993,5.438726,0.658066,1.827022,2.537530,0.000000,0.028540
0.020000,2.273027,5.439750,0.695114,1.877772,2.537530,0.000000,0.026673
0.020000,2.311077,5.440722,0.733177,1.928523,2.537530,-0.000000,0.024366
0.020000,2.350145,5.441622,0.772255,1.979274,2.537530,0.000000,0.021589
0.020000,2.390230,5.442423,0.812348,2.030024,2.537530,-0.000000,0.018309
0.020000,2.431332,5.443099,0.853456,2.080775,2.537530,-0.000000,0.014491
0.020000,2.473452,5.443618,0.895579,2.131525,2.537530,0.000000,0.010102
0.020000,2.516589,5.443948,0.938717,2.182276,2.537530,0.000000,0.005106
0.020000,2.560742,5.444051,0.982870,2.233027,2.537530,0.000000,6.282651
0.020000,2.605909,5.443886,1.028038,2.283777,2.537530,-0.000000,6.276331
0.020000,2.652090,5.443409,1.074221,2.334528,2.537530,0.000000,6.269292
0.020000,2.699280,5.442572,1.121419,2.385278,2.537530,-0.000000,6.261499
0.020000,2.747477,5.441322,1.169632,2.436029,2.537530,0.000000,6.252911
0.020000,2.796675,5.439603,1.218860,2.486780,2.537530,0.000000,6.243492
0.020000,2.846867,5.437354,1.269103,2.537530,2.537530,-0.000000,6.233204
0.020000,2.898046,5.434510,1.320362,2.588281,2.537530,0.000000,6.222011
0.020000,2.950201,5.431000,1.372635,2.639031,2.537530,0.000000,6.209877
0.020000,3.003319,5.426753,1.425923,2.689782,2.537530,-0.000000,6.196771
0.020000,3.057385,5.421688,1.480226,2.740533,2.537530,0.000000,6.182662
0.020000,3.112380,5.415723,1.535544,2.791283,2.537530,0.000000,6.167525
0.020000,3.168283,5.408773,1.591877,2.842034,2.537530,0.000000,6.151337
0.020000,3.225066,5.400748,1.649225,2.892784,2.537530,-0.000000,6.134084
0.020000,3.282699,5.391553,1.707589,2.943535,2.537530,0.000000,6.115757
0.020000,3.339473,5.381410,1.766967,2.994286,2.537530,0.000000,6.097473
0.020000,3.397852,5.369009,1.827360,3.045036,2.537530,0.000000,6.051021
0.020000,3.457267,5.353510,1.888768,3.095787,2.537530,-0.000000,6.005281
0.020000,3.516891,5.335045,1.951192,3.146537,2.537530,0.000000,5.960818
0.020000,3.576452,5.313716,2.014461,3.180371,1.691687,-42.292169,5.918273
0.020000,3.635516,5.289772,2.078198,3.193388,0.650840,-52.042357,5.878328
0.020000,3.693549,5.263613,2.141858,3.172571,-1.040847,-84.584338,5.841607
0.020000,3.750109,5.235703,2.204932,3.134837,-1.886691,-42.292169,5.808513
0.020000,3.804989,5.206458,2.267121,3.084087,-2.537530,-32.541981,5.779173
0.020000,3.858164,5.176216,2.328295,3.033336,-2.537530,-0.000000,5.753524
0.020000,3.909732,5.145236,2.388455,2.982585,-2.537530,0.000000,5.731393
0.020000,3.959796,5.113748,2.447599,2.931835,-2.537530,0.000000,5.712590
0.020000,4.008461,5.081957,2.505728,2.881084,-2.537530,-0.000000,5.696918
0.020000,4.055828,5.050046,2.562842,2.830334,-2.537530,0.000000,5.684183
0.020000,4.101995,5.018176,2.618941,2.779583,-2.537530,0.000000,5.674200
0.020000,4.147054,4.986490,2.674025,2.728832,-2.537530,0.000000,5.666795
0.020000,4.191088,4.955115,2.728095,2.678082,-2.537530,-0.000000,5.661808
0.020000,4.234178,4.924163,2.781149,2.627331,-2.537530,0.000000,5.659092
0.020000,4.276393,4.893734,2.833188,2.576581,-2.537530,0.000000,5.658511
0.020000,4.317798,4.863916,2.884212,2.525830,-2.537530,0.000000,5.659944
0.020000,4.358449,4.834789,2.934221,2.475079,-2.537530,-0.000000,5.663276
0.020000,4.398395,4.806421,2.983215,2.424329,-2.537530,0.000000,5.668404
0.020000,4.437679,4.778876,3.031194,2.373578,-2.537530,0.000000,5.675228
0.020000,4.476337,4.752207,3.078158,2.322828,-2.537530,-0.000000,5.683656
0.020000,4.514397,4.726464,3.124107,2.272077,-2.537530,0.000000,5.693598
0.020000,4.551883,4.701688,3.169041,2.221326,-2.537530,-0.000000,5.704965
0.020000,4.588811,4.677914,3.212960,2.170576,-2.537530,0.000000,5.717669
0.020000,4.625191,4.655172,3.255864,2.119825,-2.537530,-0.000000,5.731622
0.020000,4.661030,4.633488,3.297753,2.069074,-2.537530,0.000000,5.746733
0.020000,4.696327,4.612878,3.338627,2.018324,-2.537530,0.000000,5.762907
0.020000,4.731078,4.593357,3.378486,1.967573,-2.537530,0.000000,5.780047
0.020000,4.765273,4.574931,3.417330,1.916823,-2.537530,-0.000000,5.798052
0.020000,4.798899,4.557602,3.455159,1.866072,-2.537530,0.000000,5.816818
0.020000,4.831939,4.541366,3.491973,1.815321,-2.537530,0.000000,5.836237
0.020000,4.864372,4.526214,3.527772,1.764571,-2.537530,0.000000,5.856198
0.020000,4.896176,4.512130,3.562556,1.713820,-2.537530,-0.000000,5.876588
0.020000,4.927327,4.499094,3.596325,1.663070,-2.537530,0.000000,5.897293
0.020000,4.957798,4.487082,3.629079,1.612319,-2.537530,0.000000,5.918201
0.020000,4.987563,4.476064,3.660818,1.561568,-2.537530,-0.000000,5.939200
0.020000,5.016593,4.466005,3.691541,1.510818,-2.537530,0.000000,5.960182
0.020000,5.044861,4.456868,3.721250,1.460067,-2.537530,0.000000,5.981043
0.020000,5.072341,4.448612,3.749944,1.409317,-2.537530,0.000000,6.001684
0.020000,5.099006,4.441193,3.777623,1.358566,-2.537530,-0.000000,6.022013
0.020000,5.124833,4.434565,3.804287,1.307815,-2.537530,0.000000,6.041947
0.020000,5.149797,4.428679,3.829936,1.257065,-2.537530,0.000000,6.061407
0.020000,5.173877,4.423488,3.854569,1.206314,-2.537530,0.000000,6.080326
0.020000,5.197054,4.418941,3.878188,1.155564,-2.537530,-0.000000,6.098645
0.020000,5.219309,4.414990,3.900792,1.104813,-2.537530,0.000000,6.116311
0.020000,5.240627,4.411585,3.922381,1.054062,-2.537530,0.000000,6.133280
0.020000,5.260994,4.408677,3.942954,1.003312,-2.537530,0.000000,6.149517
0.020000,5.280398,4.406221,3.962513,0.952561,-2.537530,0.000000,6.164992
0.020000,5.298828,4.404169,3.981057,0.901811,-2.537530,-0.000000,6.179683
0.020000,5.316274,4.402480,3.998586,0.851060,-2.537530,0.000000,6.193572
0.020000,5.332731,4.401109,4.015099,0.800309,-2.537530,0.000000,6.206648
0.020000,5.348191,4.400019,4.030598,0.749559,-2.537530,0.000000,6.218902
0.020000,5.362650,4.399171,4.045082,0.698808,-2.537530,0.000000,6.230330
0.020000,5.376103,4.398531,4.058550,0.648058,-2.537530,-0.000000,6.240931
0.020000,5.388548,4.398066,4.071004,0.597307,-2.537530,0.000000,6.250706
0.020000,5.399983,4.397745,4.082443,0.546556,-2.537530,-0.000000,6.259657
0.020000,5.410404,4.397543,4.092866,0.495806,-2.537530,0.000000,6.267789
0.020000,5.419812,4.397432,4.102275,0.445055,-2.537530,0.000000,6.275107
0.020000,5.428206,4.397392,4.110668,0.394305,-2.537530,0.000000,6.281616
0.020000,5.435584,4.397401,4.118047,0.343554,-2.537530,0.000000,0.004137
0.020000,5.441947,4.397443,4.124411,0.292803,-2.537530,-0.000000,0.009045
0.020000,5.447296,4.397503,4.129759,0.242053,-2.537530,0.000000,0.013161
0.020000,5.451629,4.397567,4.134093,0.191302,-2.537530,-0.000000,0.016490
0.020000,5.454947,4.397626,4.137411,0.140552,-2.537530,0.000000,0.019034
0.020000,5.457250,4.397672,4.139715,0.089801,-2.537530,0.000000,0.020799
0.020000,5.458577,4.397700,4.141042,0.042950,-2.342526,9.750188,0.021815
0.020000,5.459137,4.397712,4.141602,0.013017,-1.496683,42.292169,0.022243
0.020000,5.459267,4.397715,4.141732,0.000000,-0.650840,42.292169,0.022343
0.020000,5.459267,4.397715,4.141732,0.000000,0.000000,32.541981,0.022343
