dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.579852,5.172975,0.000169,0.016917,0.845843,42.292169,6.282974
0.020000,1.579875,5.172975,0.000192,0.001125,-0.789591,-81.771697,6.283064
0.020000,1.580533,5.172975,0.000850,0.032916,1.589558,118.957409,0.000081
0.020000,1.583154,5.172976,0.003471,0.131068,4.907609,165.902590,0.000416
0.020000,1.586823,5.172978,0.007141,0.183459,2.619521,-114.404412,0.000882
0.020000,1.591540,5.172984,0.011857,0.235812,2.617675,-0.092320,0.001477
0.020000,1.597302,5.172994,0.017619,0.288118,2.615304,-0.118541,0.002196
0.020000,1.604109,5.173012,0.024426,0.340366,2.612403,-0.145032,0.003035
0.020000,1.611960,5.173040,0.032277,0.392546,2.608975,-0.171400,0.003989
0.020000,1.620853,5.173080,0.041170,0.444646,2.605022,-0.197653,0.005050
0.020000,1.630786,5.173136,0.051103,0.496657,2.600546,-0.223804,0.006212
0.020000,1.641757,5.173211,0.062075,0.548568,2.595533,-0.250639,0.007467
0.020000,1.653764,5.173309,0.074082,0.600368,2.590006,-0.276388,0.008806
0.020000,1.666804,5.173433,0.087123,0.652047,2.583957,-0.302444,0.010219
0.020000,1.680875,5.173587,0.101195,0.703595,2.577372,-0.329250,0.011696
0.020000,1.695974,5.173775,0.116295,0.755000,2.570281,-0.354550,0.013225
0.020000,1.712098,5.174001,0.132420,0.806253,2.562654,-0.381349,0.014795
0.020000,1.729243,5.174269,0.149567,0.857344,2.554514,-0.407004,0.016392
0.020000,1.747405,5.174581,0.167732,0.908261,2.545864,-0.432505,0.018002
0.020000,1.766582,5.174942,0.186912,0.958995,2.536688,-0.458782,0.019610
0.020000,1.786768,5.175354,0.207103,1.009535,2.526997,-0.484563,0.021202
0.020000,1.807960,5.175820,0.228300,1.059871,2.516799,-0.509900,0.022761
0.020000,1.830154,5.176342,0.250500,1.109992,2.506081,-0.535870,0.024269
0.020000,1.853345,5.176922,0.273698,1.159889,2.494856,-0.561256,0.025709
0.020000,1.877527,5.177561,0.297889,1.209552,2.483119,-0.586865,0.027062
0.020000,1.902697,5.178258,0.323068,1.258969,2.470865,-0.612690,0.028309
0.020000,1.928849,5.179014,0.349231,1.308131,2.458105,-0.638002,0.029428
0.020000,1.955977,5.179826,0.376371,1.357028,2.444822,-0.664148,0.030399
0.020000,1.984077,5.180692,0.404484,1.405648,2.431029,-0.689671,0.031199
0.020000,2.013142,5.181609,0.433564,1.453982,2.416707,-0.716107,0.031807
0.020000,2.043167,5.182571,0.463604,1.502020,2.401864,-0.742146,0.032197
0.020000,2.074146,5.183571,0.494599,1.549749,2.386484,-0.768972,0.032345
0.020000,2.106072,5.184603,0.526543,1.597161,2.370566,-0.795911,0.032227
0.020000,2.138940,5.185657,0.559427,1.644243,2.354101,-0.823245,0.031814
0.020000,2.172743,5.186721,0.593247,1.690984,2.337080,-0.851049,0.031082
0.020000,2.207474,5.187783,0.627995,1.737374,2.319494,-0.879294,0.030000
0.020000,2.243127,5.188828,0.663663,1.783401,2.301340,-0.907701,0.028540
0.020000,2.279694,5.189839,0.700244,1.829053,2.282598,-0.937110,0.026673
0.020000,2.317168,5.190797,0.737730,1.874318,2.263275,-0.966172,0.024366
0.020000,2.355542,5.191680,0.776114,1.919186,2.243370,-0.995250,0.021589
0.020000,2.394807,5.192465,0.815387,1.963643,2.222865,-1.025207,0.018309
0.020000,2.434955,5.193125,0.855540,2.007679,2.201801,-1.053223,0.014491
0.020000,2.475978,5.193631,0.896566,2.051282,2.180157,-1.082174,0.010102
0.020000,2.517865,5.193951,0.938455,2.094442,2.157995,-1.108143,0.005106
