dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.579849,5.672975,0.000169,0.016883,0.844156,42.207792,0.000223
0.020000,1.579869,5.672975,0.000188,0.000967,-0.795802,-81.997906,0.000145
0.020000,1.580161,5.672975,0.000480,0.014600,0.681630,73.871629,6.283157
0.020000,1.582765,5.672975,0.003085,0.130225,5.781261,254.981519,6.282869
0.020000,1.586411,5.672973,0.006730,0.182281,2.602814,-158.922313,6.282468
0.020000,1.591097,5.672968,0.011416,0.234303,2.601088,-0.086306,6.281958
0.020000,1.596822,5.672959,0.017142,0.286281,2.598922,-0.108300,6.281341
0.020000,1.603586,5.672944,0.023906,0.338207,2.596258,-0.133222,6.280622
0.020000,1.611388,5.672921,0.031707,0.390068,2.593093,-0.158232,6.279806
0.020000,1.620225,5.672887,0.040545,0.441858,2.589478,-0.180762,6.278899
0.020000,1.630096,5.672840,0.050416,0.493565,2.585365,-0.205645,6.277907
0.020000,1.641000,5.672777,0.061320,0.545180,2.580759,-0.230296,6.276838
0.020000,1.652933,5.672694,0.073253,0.596694,2.575692,-0.253354,6.275700
0.020000,1.665895,5.672589,0.086215,0.648097,2.570154,-0.276924,6.274502
0.020000,1.679882,5.672459,0.100203,0.699380,2.564133,-0.301026,6.273253
0.020000,1.694891,5.672300,0.115214,0.750533,2.557626,-0.325332,6.271963
0.020000,1.710921,5.672110,0.131245,0.801546,2.550653,-0.348672,6.270645
0.020000,1.727968,5.671884,0.148293,0.852410,2.543236,-0.370865,6.269309
0.020000,1.746028,5.671622,0.166355,0.903117,2.535320,-0.395778,6.267969
0.020000,1.765099,5.671319,0.185428,0.953656,2.526947,-0.418680,6.266637
0.020000,1.785176,5.670973,0.205509,1.004018,2.518116,-0.441528,6.265329
0.020000,1.806257,5.670583,0.226592,1.054194,2.508800,-0.465793,6.264058
0.020000,1.828336,5.670147,0.248676,1.104175,2.499050,-0.487529,6.262841
0.020000,1.851410,5.669664,0.271755,1.153951,2.488802,-0.512397,6.261694
0.020000,1.875474,5.669134,0.295825,1.203513,2.478123,-0.533915,6.260634
0.020000,1.900525,5.668556,0.320882,1.252852,2.466947,-0.558817,6.259678
