dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.579905,5.422975,0.000169,0.016883,0.844156,42.207792,0.000223
0.020000,1.579905,5.422975,0.000844,0.050649,1.688312,42.207792,0.000145
0.020000,1.580153,5.422975,0.002364,0.101299,2.532468,42.207792,6.283157
0.020000,1.582686,5.422975,0.004896,0.151948,2.532468,0.000000,6.282869
0.020000,1.586231,5.422973,0.008442,0.202597,2.532468,-0.000000,6.282468
0.020000,1.590790,5.422968,0.013000,0.253247,2.532468,0.000000,6.281958
0.020000,1.596361,5.422960,0.018571,0.303896,2.532468,-0.000000,6.281341
0.020000,1.602946,5.422945,0.025156,0.354545,2.532468,0.000000,6.280622
0.020000,1.610543,5.422923,0.032753,0.405195,2.532468,0.000000,6.279806
0.020000,1.619153,5.422890,0.041364,0.455844,2.532468,0.000000,6.278899
0.020000,1.628777,5.422844,0.050987,0.506494,2.532468,0.000000,6.277907
0.020000,1.639413,5.422782,0.061623,0.557143,2.532468,-0.000000,6.276838
0.020000,1.651062,5.422701,0.073273,0.607792,2.532468,0.000000,6.275700
0.020000,1.663724,5.422599,0.085935,0.658442,2.532468,-0.000000,6.274502
0.020000,1.677399,5.422471,0.099610,0.709091,2.532468,0.000000,6.273253
0.020000,1.692086,5.422316,0.114299,0.759740,2.532468,-0.000000,6.271963
0.020000,1.707786,5.422129,0.130000,0.810390,2.532468,0.000000,6.270645
0.020000,1.724499,5.421909,0.146714,0.861039,2.532468,-0.000000,6.269309
0.020000,1.742224,5.421651,0.164442,0.911688,2.532468,0.000000,6.267969
0.020000,1.760962,5.421353,0.183182,0.962338,2.532468,-0.000000,6.266637
0.020000,1.780713,5.421013,0.202935,1.012987,2.532468,0.000000,6.265329
0.020000,1.801475,5.420629,0.223701,1.063636,2.532468,-0.000000,6.264058
0.020000,1.823250,5.420199,0.245481,1.114286,2.532468,-0.000000,6.262841
0.020000,1.846037,5.419722,0.268273,1.164935,2.532468,0.000000,6.261694
0.020000,1.869837,5.419197,0.292078,1.215584,2.532468,-0.000000,6.260634
0.020000,1.894648,5.418625,0.316896,1.266234,2.532468,0.000000,6.259678
0.020000,1.920472,5.418007,0.342727,1.316883,2.532468,-0.000000,6.258846
0.020000,1.947308,5.417344,0.369571,1.367532,2.532468,0.000000,6.258157
0.020000,1.975156,5.416639,0.397429,1.418182,2.532468,-0.000000,6.257631
0.020000,2.004017,5.415896,0.426299,1.468831,2.532468,0.000000,6.257288
0.020000,2.033890,5.415120,0.456182,1.519481,2.532468,-0.000000,6.257151
0.020000,2.064776,5.414316,0.487078,1.570130,2.532468,0.000000,6.257242
0.020000,2.096674,5.413493,0.518987,1.620779,2.532468,-0.000000,6.257584
0.020000,2.129586,5.412660,0.551909,1.671429,2.532468,0.000000,6.258202
0.020000,2.163511,5.411827,0.585844,1.722078,2.532468,-0.000000,6.259120
0.020000,2.198449,5.411007,0.620792,1.772727,2.532468,0.000000,6.260364
0.020000,2.234401,5.410214,0.656753,1.823377,2.532468,-0.000000,6.261960
0.020000,2.271368,5.409465,0.693727,1.874026,2.532468,0.000000,6.263938
0.020000,2.309348,5.408778,0.731714,1.924675,2.532468,0.000000,6.266324
0.020000,2.348344,5.408174,0.770714,1.975325,2.532468,0.000000,6.269149
0.020000,2.388354,5.407677,0.810727,2.025974,2.532468,0.000000,6.272442
0.020000,2.429378,5.407313,0.851753,2.076623,2.532468,-0.000000,6.276236
0.020000,2.471416,5.407110,0.893792,2.127273,2.532468,0.000000,6.280562
0.020000,2.514468,5.407101,0.936844,2.177922,2.532468,-0.000000,0.002269
0.020000,2.558533,5.407320,0.980909,2.228571,2.532468,0.000000,0.007762
0.020000,2.603608,5.407806,1.025987,2.279221,2.532468,0.000000,0.013889
0.020000,2.649692,5.408601,1.072078,2.329870,2.532468,0.000000,0.020687
0.020000,2.696782,5.409749,1.119182,2.380519,2.532468,-0.000000,0.028192
0.020000,2.744873,5.411302,1.167299,2.431169,2.532468,0.000000,0.036441
0.020000,2.793962,5.413311,1.216429,2.481818,2.532468,0.000000,0.045471
0.020000,2.844041,5.415834,1.266571,2.532468,2.532468,-0.000000,0.055319
0.020000,2.895103,5.418933,1.317727,2.583117,2.532468,0.000000,0.066022
