dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.579961,5.172975,0.000169,0.016883,0.844156,42.207792,0.000223
0.020000,1.579941,5.172975,0.000188,0.000967,-0.795802,-81.997906,0.000145
0.020000,1.580146,5.172975,0.000393,0.010258,0.464564,63.018300,6.283157
0.020000,1.582607,5.172975,0.002854,0.123022,5.638166,258.680134,6.282869
0.020000,1.586052,5.172973,0.006299,0.172265,2.462147,-158.800954,6.282468
0.020000,1.590483,5.172969,0.010730,0.221541,2.463820,0.083615,6.281958
0.020000,1.595900,5.172960,0.016147,0.270861,2.466018,0.109940,6.281341
0.020000,1.602305,5.172946,0.022552,0.320235,2.468687,0.133437,6.280622
0.020000,1.609698,5.172924,0.029945,0.369672,2.471823,0.156769,6.279806
0.020000,1.618082,5.172892,0.038329,0.419181,2.475470,0.182358,6.278899
0.020000,1.627457,5.172847,0.047704,0.468773,2.479582,0.205611,6.277907
0.020000,1.637826,5.172787,0.058073,0.518456,2.484161,0.228958,6.276838
0.020000,1.649191,5.172708,0.069438,0.568241,2.489235,0.253682,6.275700
0.020000,1.661553,5.172608,0.081801,0.618136,2.494790,0.277774,6.274502
0.020000,1.674915,5.172484,0.095164,0.668153,2.500814,0.301201,6.273253
0.020000,1.689281,5.172332,0.109530,0.718299,2.507299,0.324264,6.271963
0.020000,1.704651,5.172149,0.124902,0.768584,2.514261,0.348078,6.270645
0.020000,1.721030,5.171933,0.141282,0.819018,2.521718,0.372828,6.269309
0.020000,1.738420,5.171679,0.158674,0.869610,2.529614,0.394808,6.267969
0.020000,1.756826,5.171387,0.177082,0.920370,2.537985,0.418567,6.266637
0.020000,1.776249,5.171053,0.196508,0.971307,2.546830,0.442258,6.265329
0.020000,1.796694,5.170674,0.216956,1.022429,2.556120,0.464484,6.264058
0.020000,1.818165,5.170250,0.238431,1.073747,2.565902,0.489108,6.262841
0.020000,1.840665,5.169779,0.260937,1.125270,2.576116,0.510693,6.261694
0.020000,1.864200,5.169261,0.284477,1.177006,2.586828,0.535601,6.260634
0.020000,1.888772,5.168695,0.309056,1.228966,2.597975,0.557350,6.259678
0.020000,1.914388,5.168081,0.334679,1.281158,2.609617,0.582115,6.258846
0.020000,1.941052,5.167423,0.361351,1.333592,2.621710,0.604659,6.258157
0.020000,1.968768,5.166721,0.389077,1.386278,2.634294,0.629172,6.257631
