dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.150359,3.082115,0.000170,0.017008,0.850406,42.520275,0.000179
0.020000,1.150375,3.082115,0.000185,0.000759,-0.812440,-83.142253,0.000118
0.020000,1.150617,3.082115,0.000427,0.012093,0.566672,68.955596,6.283167
0.020000,1.153224,3.082115,0.003035,0.130382,5.914452,267.388992,6.282941
0.020000,1.156874,3.082114,0.006685,0.182499,2.605856,-165.429821,6.282628
0.020000,1.161566,3.082110,0.011376,0.234580,2.604043,-0.090616,6.282230
0.020000,1.167298,3.082103,0.017109,0.286614,2.601725,-0.115924,6.281752
0.020000,1.174070,3.082092,0.023880,0.338593,2.598936,-0.139457,6.281197
0.020000,1.181880,3.082074,0.031691,0.390505,2.595599,-0.166820,6.280571
0.020000,1.190727,3.082047,0.040537,0.442340,2.591757,-0.192112,6.279881
0.020000,1.200608,3.082011,0.050419,0.494088,2.587415,-0.217126,6.279132
0.020000,1.211523,3.081962,0.061334,0.545740,2.582578,-0.241831,6.278333
0.020000,1.223469,3.081899,0.073280,0.597285,2.577235,-0.267147,6.277493
0.020000,1.236443,3.081820,0.086254,0.648712,2.571359,-0.293807,6.276620
0.020000,1.250443,3.081722,0.100254,0.700012,2.565030,-0.316454,6.275726
0.020000,1.265466,3.081603,0.115278,0.751176,2.558179,-0.342568,6.274820
0.020000,1.281509,3.081461,0.131322,0.802192,2.550822,-0.367808,6.273915
0.020000,1.298569,3.081295,0.148383,0.853053,2.543002,-0.391010,6.273022
0.020000,1.316643,3.081104,0.166457,0.903746,2.534648,-0.417693,6.272157
0.020000,1.335727,3.080885,0.185543,0.954262,2.525834,-0.440739,6.271332
0.020000,1.355817,3.080639,0.205635,1.004592,2.516510,-0.466184,6.270563
0.020000,1.376910,3.080365,0.226729,1.054726,2.506681,-0.491441,6.269864
0.020000,1.399001,3.080064,0.248822,1.104654,2.496382,-0.514928,6.269254
0.020000,1.422086,3.079736,0.271909,1.154365,2.485563,-0.540977,6.268748
0.020000,1.446160,3.079384,0.295986,1.203850,2.474246,-0.565860,6.268366
0.020000,1.471220,3.079009,0.321048,1.253098,2.462422,-0.591165,6.268126
0.020000,1.497259,3.078616,0.347090,1.302100,2.450084,-0.616916,6.268048
0.020000,1.524272,3.078208,0.374107,1.350844,2.437223,-0.643061,6.268152
0.020000,1.552256,3.077791,0.402094,1.399321,2.423831,-0.669599,6.268460
0.020000,1.581203,3.077372,0.431044,1.447519,2.409902,-0.696442,6.268994
0.020000,1.611109,3.076958,0.460953,1.495427,2.395406,-0.724800,6.269777
0.020000,1.641967,3.076560,0.491813,1.543034,2.380358,-0.752393,6.270833
0.020000,1.673771,3.076188,0.523620,1.590329,2.364711,-0.782377,6.272188
0.020000,1.706516,3.075855,0.556366,1.637298,2.348480,-0.811512,6.273868
0.020000,1.740193,3.075574,0.590044,1.683930,2.331616,-0.843234,6.275899
0.020000,1.774797,3.075363,0.624649,1.730213,2.314140,-0.873776,6.278309
0.020000,1.810319,3.075239,0.660171,1.776133,2.295982,-0.907912,6.281127
0.020000,1.846753,3.075222,0.696605,1.821677,2.277207,-0.938767,0.001199
0.020000,1.884089,3.075335,0.733942,1.866831,2.257705,-0.975098,0.004925
0.020000,1.922320,3.075603,0.772173,1.911582,2.237539,-1.008311,0.009153
0.020000,1.961435,3.076052,0.811292,1.955916,2.216700,-1.041919,0.013917
0.020000,2.001426,3.076714,0.851288,1.999819,2.195134,-1.078306,0.019250
0.020000,2.042282,3.077620,0.892153,2.043277,2.172922,-1.110623,0.025188
0.020000,2.083991,3.078807,0.933879,2.086279,2.150106,-1.140794,0.031768
0.020000,2.126540,3.080311,0.976455,2.128813,2.126670,-1.171768,0.039028
0.020000,2.169917,3.082176,1.019873,2.170866,2.102696,-1.198740,0.047004
0.020000,2.214108,3.084446,1.064121,2.212433,2.078331,-1.218234,0.055738
0.020000,2.259096,3.087169,1.109191,2.253507,2.053716,-1.230719,0.065267
0.020000,2.304864,3.090396,1.155073,2.294086,2.028951,-1.238249,0.075632
0.020000,2.351393,3.094182,1.201757,2.334173,2.004309,-1.232129,0.086871
0.020000,2.398664,3.098586,1.249232,2.373774,1.980090,-1.210922,0.099025
0.020000,2.446654,3.103668,1.297490,2.412907,1.956603,-1.174385,0.112129
0.020000,2.495338,3.109495,1.346522,2.451592,1.934286,-1.115816,0.126220
0.020000,2.544691,3.116133,1.396319,2.489865,1.913618,-1.033426,0.141331
0.020000,2.594684,3.123655,1.446875,2.527769,1.895204,-0.920721,0.157492
0.020000,2.645286,3.132135,1.498182,2.565361,1.879636,-0.778371,0.174726
0.020000,2.696463,3.141650,1.550236,2.602716,1.867751,-0.594239,0.193054
0.020000,2.748180,3.152279,1.603035,2.639921,1.860243,-0.375391,0.212487
0.020000,2.800400,3.164104,1.656576,2.677081,1.858009,-0.111740,0.233029
0.020000,2.853081,3.177207,1.710863,2.714319,1.861885,0.193836,0.254673
0.020000,2.906181,3.191674,1.765898,2.751774,1.872761,0.543760,0.277402
0.020000,2.959656,3.207586,1.821690,2.789601,1.891310,0.927469,0.301186
0.020000,3.013458,3.225030,1.878250,2.827967,1.918327,1.350840,0.325983
0.020000,3.067539,3.244089,1.935590,2.867042,1.953743,1.770792,0.351735
0.020000,3.121849,3.264842,1.993731,2.907015,1.998637,2.244703,0.378370
0.020000,3.176337,3.287371,2.052692,2.948057,2.052122,2.674290,0.405804
0.020000,3.228402,3.310725,2.109756,2.853185,-4.743585,-339.785395,0.440260
0.020000,3.280760,3.336560,2.168140,2.919244,3.302931,402.325835,0.475436
0.020000,3.333517,3.364750,2.227956,2.990798,3.577712,13.739014,0.504964
0.020000,3.386384,3.394829,2.288781,3.041233,2.521735,-52.798812,0.528564
0.020000,3.439192,3.426333,2.350273,3.074580,1.667358,-42.718888,0.546242
0.020000,3.491896,3.458842,2.412197,3.096203,1.081131,-29.311352,0.558182
0.020000,3.544594,3.492018,2.474468,3.113564,0.868040,-10.654508,0.564653
0.020000,3.597401,3.525547,2.537020,3.127601,0.701867,-8.308677,0.565919
0.020000,3.650434,3.559127,2.599790,3.138512,0.545553,-7.815714,0.562230
0.020000,3.703805,3.592470,2.662720,3.146491,0.398976,-7.328832,0.553820
0.020000,3.757617,3.625294,2.725753,3.151664,0.258642,-7.016689,0.540913
0.020000,3.811958,3.657329,2.788834,3.154039,0.118709,-6.996658,0.523733
0.020000,3.866895,3.688308,2.851904,3.153478,-0.028026,-7.336743,0.502514
0.020000,3.922467,3.717972,2.914898,3.149691,-0.189340,-8.065708,0.477515
0.020000,3.978680,3.746072,2.977742,3.142239,-0.372596,-9.162782,0.449028
0.020000,4.035500,3.772370,3.040354,3.130565,-0.583703,-10.555372,0.417391
0.020000,4.087886,3.794847,3.097358,2.850208,-14.017842,-671.706957,0.398389
0.020000,4.138765,3.815974,3.152449,2.754545,-4.783187,461.732770,0.388679
0.020000,4.188976,3.836245,3.206597,2.707442,-2.355137,121.402479,0.378655
0.020000,4.238508,3.855659,3.259798,2.660029,-2.370624,-0.774315,0.368343
0.020000,4.287348,3.874215,3.312044,2.612303,-2.386312,-0.784419,0.357766
0.020000,4.335481,3.891916,3.363329,2.564256,-2.402350,-0.801890,0.346952
0.020000,4.382894,3.908766,3.413647,2.515883,-2.418653,-0.815148,0.335925
0.020000,4.429569,3.924772,3.462991,2.467180,-2.435154,-0.825085,0.324712
0.020000,4.475491,3.939942,3.511353,2.418142,-2.451882,-0.836370,0.313341
0.020000,4.520643,3.954287,3.558729,2.368768,-2.468699,-0.840851,0.301837
0.020000,4.565006,3.967819,3.605110,2.319055,-2.485681,-0.849098,0.290229
0.020000,4.608563,3.980552,3.650490,2.269002,-2.502637,-0.847806,0.278543
0.020000,4.651296,3.992503,3.694862,2.218610,-2.519584,-0.847364,0.266806
0.020000,4.693185,4.003689,3.738220,2.167883,-2.536393,-0.840422,0.255046
0.020000,4.734214,4.014130,3.780556,2.116821,-2.553069,-0.833833,0.243288
0.020000,4.774364,4.023847,3.821865,2.065432,-2.569474,-0.820247,0.231560
0.020000,4.813616,4.032861,3.862139,2.013720,-2.585563,-0.804455,0.219887
0.020000,4.851954,4.041197,3.901373,1.961695,-2.601281,-0.785891,0.208294
0.020000,4.889361,4.048880,3.939560,1.909364,-2.616545,-0.763180,0.196806
