dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.150449,2.582115,0.000170,0.017008,0.850406,42.520275,0.000179
0.020000,1.150434,2.582115,0.000185,0.000759,-0.812440,-83.142253,0.000118
0.020000,1.150607,2.582115,0.000359,0.008687,0.396380,60.440985,6.283167
0.020000,1.153102,2.582115,0.002854,0.124740,5.802634,270.312668,6.282941
0.020000,1.156595,2.582114,0.006347,0.174672,2.496603,-165.301511,6.282628
0.020000,1.161088,2.582110,0.010840,0.224639,2.498382,0.088952,6.282230
0.020000,1.166581,2.582104,0.016333,0.274653,2.500678,0.114788,6.281752
0.020000,1.173076,2.582093,0.022828,0.324723,2.503523,0.142229,6.281197
0.020000,1.180573,2.582075,0.030325,0.374860,2.506840,0.165882,6.280571
0.020000,1.189074,2.582050,0.038826,0.425073,2.510668,0.191383,6.279881
0.020000,1.198582,2.582015,0.048334,0.475374,2.515008,0.217003,6.279132
0.020000,1.209097,2.581968,0.058849,0.525771,2.519863,0.242761,6.278333
0.020000,1.220622,2.581908,0.070375,0.576275,2.525218,0.267762,6.277493
0.020000,1.233160,2.581831,0.082913,0.626896,2.531044,0.291290,6.276620
0.020000,1.246713,2.581736,0.096465,0.677644,2.537415,0.318522,6.275726
0.020000,1.261283,2.581620,0.111036,0.728530,2.544260,0.342247,6.274820
0.020000,1.276873,2.581483,0.126627,0.779562,2.551593,0.366665,6.273915
0.020000,1.293488,2.581321,0.143242,0.830751,2.559452,0.392945,6.273022
0.020000,1.311129,2.581134,0.160884,0.882106,2.567767,0.415753,6.272157
0.020000,1.329800,2.580920,0.179557,0.933638,2.576608,0.442062,6.271332
0.020000,1.349506,2.580679,0.199264,0.985357,2.585929,0.466048,6.270563
0.020000,1.370250,2.580410,0.220010,1.037271,2.595735,0.490295,6.269864
0.020000,1.392036,2.580113,0.241798,1.089393,2.606064,0.516451,6.269254
0.020000,1.414868,2.579788,0.264632,1.141730,2.616871,0.540349,6.268748
0.020000,1.438751,2.579439,0.288518,1.194294,2.628186,0.565761,6.268366
0.020000,1.463690,2.579066,0.313460,1.247094,2.640011,0.591250,6.268126
0.020000,1.489690,2.578673,0.339463,1.300141,2.652350,0.616922,6.268048
0.020000,1.516756,2.578264,0.366532,1.353445,2.665209,0.642970,6.268152
0.020000,1.544893,2.577845,0.394672,1.407017,2.678600,0.669544,6.268460
0.020000,1.574107,2.577422,0.423889,1.460868,2.692538,0.696892,6.268994
