dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.045392,2.623809,0.000169,0.016883,0.844156,42.207792,6.251067
0.020000,1.045424,2.623808,0.000201,0.001589,-0.764698,-80.442705,6.251194
0.020000,1.045495,2.623806,0.000272,0.003570,0.099057,43.187739,6.251480
0.020000,1.047923,2.623729,0.002702,0.121481,5.895522,289.823254,6.251955
0.020000,1.051633,2.623615,0.006413,0.185546,3.203256,-134.613293,6.252617
0.020000,1.056400,2.623471,0.011183,0.238500,2.647717,-27.776914,6.253463
0.020000,1.062226,2.623301,0.017011,0.291409,2.645464,-0.112658,6.254490
0.020000,1.069109,2.623107,0.023896,0.344265,2.642778,-0.134318,6.255694
0.020000,1.077047,2.622894,0.031837,0.397056,2.639572,-0.160287,6.257068
0.020000,1.086040,2.622666,0.040833,0.449774,2.635893,-0.183941,6.258609
0.020000,1.096085,2.622428,0.050881,0.502408,2.631661,-0.211633,6.260308
0.020000,1.107181,2.622185,0.061980,0.554948,2.627032,-0.231451,6.262158
0.020000,1.119326,2.621941,0.074127,0.607385,2.621835,-0.259811,6.264152
0.020000,1.132519,2.621704,0.087322,0.659709,2.616201,-0.281748,6.266279
0.020000,1.146755,2.621480,0.101560,0.711910,2.610040,-0.308035,6.268531
0.020000,1.162033,2.621274,0.116839,0.763978,2.603435,-0.330228,6.270896
0.020000,1.178350,2.621093,0.133158,0.815904,2.596304,-0.356584,6.273363
0.020000,1.195703,2.620945,0.150511,0.867679,2.588729,-0.378741,6.275920
0.020000,1.214089,2.620836,0.168897,0.919292,2.580661,-0.403396,6.278554
0.020000,1.233503,2.620772,0.188312,0.970735,2.572140,-0.426019,6.281252
0.020000,1.253943,2.620761,0.208752,1.021997,2.563113,-0.451387,0.000814
0.020000,1.275405,2.620809,0.230213,1.073071,2.553670,-0.472129,0.003594
0.020000,1.297883,2.620921,0.252692,1.123946,2.543750,-0.495991,0.006393
0.020000,1.321375,2.621105,0.276184,1.174613,2.533343,-0.520354,0.009193
0.020000,1.345875,2.621364,0.300685,1.225064,2.522552,-0.539550,0.011978
0.020000,1.371378,2.621705,0.326191,1.275289,2.511248,-0.565197,0.014728
0.020000,1.397880,2.622132,0.352697,1.325280,2.499561,-0.584372,0.017426
0.020000,1.425376,2.622647,0.380197,1.375028,2.487402,-0.607940,0.020052
0.020000,1.453860,2.623255,0.408688,1.424524,2.474806,-0.629818,0.022585
0.020000,1.483327,2.623957,0.438163,1.473760,2.461793,-0.650633,0.025005
0.020000,1.513771,2.624754,0.468618,1.522727,2.448338,-0.672761,0.027291
0.020000,1.545187,2.625645,0.500046,1.571415,2.434427,-0.695515,0.029420
0.020000,1.577568,2.626630,0.532442,1.619817,2.420078,-0.717489,0.031369
0.020000,1.610909,2.627706,0.565801,1.667923,2.405325,-0.737656,0.033114
0.020000,1.645204,2.628869,0.600115,1.715724,2.390051,-0.763686,0.034632
0.020000,1.680446,2.630114,0.635379,1.763211,2.374344,-0.785320,0.035897
0.020000,1.716630,2.631432,0.671587,1.810374,2.358165,-0.808973,0.036882
0.020000,1.753748,2.632815,0.708731,1.857204,2.341466,-0.834928,0.037563
0.020000,1.791795,2.634253,0.746805,1.903689,2.324263,-0.860157,0.037910
0.020000,1.830763,2.635732,0.785801,1.949819,2.306520,-0.887170,0.037895
0.020000,1.870646,2.637237,0.825713,1.995584,2.288221,-0.914933,0.037490
0.020000,1.911437,2.638751,0.866532,2.040971,2.269335,-0.944321,0.036664
0.020000,1.953130,2.640256,0.908252,2.085967,2.249841,-0.974714,0.035385
0.020000,1.995716,2.641727,0.950863,2.130561,2.229705,-1.006769,0.033622
0.020000,2.039187,2.643142,0.994358,2.174740,2.208922,-1.039163,0.031342
0.020000,2.083537,2.644471,1.038727,2.218489,2.187455,-1.073327,0.028509
0.020000,2.128757,2.645685,1.083963,2.261794,2.165262,-1.109674,0.025089
0.020000,2.174837,2.646751,1.130056,2.304642,2.142397,-1.143238,0.021045
0.020000,2.221769,2.647630,1.176996,2.347018,2.118777,-1.181014,0.016339
0.020000,2.269543,2.648284,1.224775,2.388908,2.094517,-1.212978,0.010933
0.020000,2.318148,2.648669,1.273381,2.430299,2.069545,-1.248622,0.004785
0.020000,2.367571,2.648737,1.322804,2.471178,2.043944,-1.280055,6.281042
0.020000,2.417801,2.648438,1.373035,2.511536,2.017886,-1.302881,6.273290
0.020000,2.468823,2.647716,1.424062,2.551362,1.991344,-1.327127,6.264672
0.020000,2.520622,2.646514,1.475875,2.590654,1.964587,-1.337847,6.255146
0.020000,2.573181,2.644768,1.528463,2.629410,1.937798,-1.339454,6.244669
0.020000,2.626482,2.642411,1.581816,2.667636,1.911301,-1.324845,6.233198
0.020000,2.680504,2.639374,1.635923,2.705343,1.885363,-1.296867,6.220692
0.020000,2.735223,2.635581,1.690774,2.742554,1.860516,-1.242358,6.207111
0.020000,2.790616,2.630953,1.746360,2.779299,1.837240,-1.163783,6.192418
0.020000,2.846655,2.625409,1.802672,2.815622,1.816194,-1.052332,6.176579
0.020000,2.903310,2.618863,1.859704,2.851584,1.798081,-0.905654,6.159566
0.020000,2.960548,2.611226,1.917449,2.887260,1.783779,-0.715112,6.141355
0.020000,3.018334,2.602407,1.975904,2.922744,1.774211,-0.478354,6.121931
0.020000,3.076629,2.592310,2.035067,2.958148,1.770190,-0.201056,6.101289
0.020000,3.135392,2.580841,2.094939,2.993610,1.773134,0.147207,6.079431
0.020000,3.194580,2.567903,2.155525,3.029283,1.783625,0.524520,6.056377
0.020000,3.254147,2.553399,2.216832,3.065342,1.802957,0.966590,6.032156
0.020000,3.314043,2.537232,2.278871,3.101974,1.831581,1.431203,6.006814
0.020000,3.374217,2.519307,2.341659,3.139383,1.870454,1.943667,5.980413
0.020000,3.434618,2.499531,2.405214,3.177772,1.919467,2.450625,5.953033
0.020000,3.495190,2.477815,2.469562,3.217356,1.979182,2.985785,5.924767
0.020000,3.552979,2.455179,2.531626,3.103225,-5.706538,-384.286007,5.888716
0.020000,3.607924,2.430537,2.591844,3.010908,-4.615847,54.534524,5.835850
0.020000,3.663957,2.401988,2.654731,3.144328,6.670983,564.341518,5.789601
0.020000,3.721201,2.369680,2.720462,3.286584,7.112833,22.092495,5.750674
0.020000,3.779803,2.333843,2.789154,3.434573,7.399429,14.329810,5.719529
0.020000,3.839825,2.294866,2.860721,3.578340,7.188370,-10.552977,5.696504
0.020000,3.901248,2.253315,2.934878,3.707875,6.476752,-35.580860,5.681812
0.020000,3.964099,2.209831,3.011305,3.821345,5.673491,-40.163068,5.675520
0.020000,4.028582,2.165021,3.089829,3.926181,5.241774,-21.585857,5.677614
0.020000,4.095078,2.119430,3.170453,4.031228,5.252358,0.529232,5.688114
0.020000,4.164008,2.073652,3.253200,4.137320,5.304618,2.612978,5.707105
0.020000,4.235805,2.028344,3.338097,4.244857,5.376860,3.612082,5.734704
0.020000,4.310884,1.984254,3.425165,4.353416,5.427952,2.554623,5.770997
0.020000,4.389597,1.942235,3.514392,4.461332,5.395775,-1.608883,5.815933
0.020000,4.472041,1.903298,3.605567,4.558768,4.871822,-26.197604,5.869122
0.020000,4.557887,1.868579,3.698169,4.630075,3.565324,-65.324936,5.929592
0.020000,4.646418,1.839154,3.791461,4.664623,1.727399,-91.896213,5.995752
0.020000,4.736712,1.815833,3.884718,4.662858,-0.088217,-90.780822,6.065599
0.020000,4.812720,1.800163,3.962324,3.880314,-39.127240,-1951.951156,6.082405
0.020000,4.886107,1.785360,4.037190,3.743285,-6.851437,1613.790171,6.086715
0.020000,4.959793,1.771015,4.112259,3.753458,0.508676,368.005644,6.095891
0.020000,5.033821,1.757490,4.187512,3.762649,0.459544,-2.456606,6.109856
0.020000,5.108234,1.745148,4.262942,3.771473,0.441185,-0.917954,6.128581
0.020000,5.183066,1.734354,4.338548,3.780332,0.442958,0.088642,6.152068
0.020000,5.258331,1.725479,4.414335,3.789352,0.450996,0.401893,6.180333
0.020000,5.334013,1.718899,4.490302,3.798338,0.449312,-0.084203,6.213372
0.020000,5.410046,1.714994,4.566436,3.806692,0.417707,-1.580211,6.251136
0.020000,5.486309,1.714137,4.642704,3.813376,0.334169,-4.176919,0.010305
0.020000,5.562604,1.716679,4.719041,3.816889,0.175646,-7.926166,0.056998
0.020000,5.638655,1.722929,4.795348,3.815328,-0.078035,-12.684059,0.107623
0.020000,5.714100,1.733126,4.871479,3.806554,-0.438723,-18.034357,0.161602
0.020000,5.788510,1.747412,4.947248,3.788451,-0.905125,-23.320136,0.218189
0.020000,5.861410,1.765809,5.022434,3.759279,-1.458586,-27.673042,0.276496
0.020000,5.932317,1.788205,5.096794,3.718005,-2.063709,-30.256121,0.335553
0.020000,6.000781,1.814363,5.170084,3.664522,-2.674134,-30.521282,0.394383
0.020000,6.066421,1.843934,5.242078,3.599701,-3.241090,-28.347794,0.452077
0.020000,6.128956,1.876494,5.312582,3.525203,-3.724862,-24.188570,0.507860
0.020000,6.188212,1.911581,5.381446,3.443209,-4.099715,-18.742650,0.561130
0.020000,6.244117,1.948726,5.448567,3.356025,-4.359181,-12.973320,0.611474
0.020000,6.295062,1.986219,5.511821,3.162708,-9.665856,-265.333756,0.656679
0.020000,6.343858,2.025413,5.574409,3.129394,-1.665724,400.006618,0.696985
0.020000,6.390443,2.066068,5.636239,3.091489,-1.895231,-11.475357,0.738311
0.020000,6.434698,2.108068,5.697252,3.050644,-2.042288,-7.352859,0.780422
0.020000,6.476519,2.151271,5.757380,3.006429,-2.210730,-8.422107,0.823048
0.020000,6.515818,2.195505,5.816551,2.958526,-2.395144,-9.220680,0.865893
0.020000,6.552534,2.240579,5.874686,2.906753,-2.588640,-9.674790,0.908648
0.020000,6.586633,2.286282,5.931708,2.851092,-2.783074,-9.721702,0.951002
