dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.067275,5.395265,0.000169,0.016883,0.844152,42.207580,6.282813
0.020000,1.067275,5.395265,0.000844,0.050649,1.688303,42.207580,6.282933
0.020000,1.067366,5.395265,0.002364,0.101298,2.532455,42.207580,0.000016
0.020000,1.069899,5.395266,0.004896,0.151947,2.532455,0.000000,0.000462
0.020000,1.073444,5.395269,0.008442,0.202596,2.532455,0.000000,0.001085
0.020000,1.078003,5.395275,0.013000,0.253245,2.532455,0.000000,0.001880
0.020000,1.083574,5.395289,0.018571,0.303895,2.532455,-0.000000,0.002846
0.020000,1.090158,5.395311,0.025156,0.354544,2.532455,0.000000,0.003977
0.020000,1.097756,5.395346,0.032753,0.405193,2.532455,-0.000000,0.005270
0.020000,1.106366,5.395398,0.041363,0.455842,2.532455,0.000000,0.006718
0.020000,1.115989,5.395470,0.050987,0.506491,2.532455,0.000000,0.008316
0.020000,1.126625,5.395568,0.061623,0.557140,2.532455,-0.000000,0.010055
0.020000,1.138273,5.395696,0.073272,0.607789,2.532455,0.000000,0.011929
0.020000,1.150934,5.395860,0.085935,0.658438,2.532455,0.000000,0.013929
0.020000,1.164608,5.396065,0.099610,0.709087,2.532455,0.000000,0.016045
0.020000,1.179294,5.396317,0.114298,0.759736,2.532455,-0.000000,0.018267
0.020000,1.194993,5.396622,0.129999,0.810386,2.532455,0.000000,0.020585
0.020000,1.211703,5.396986,0.146714,0.861035,2.532455,0.000000,0.022988
0.020000,1.229425,5.397416,0.164441,0.911684,2.532455,0.000000,0.025462
0.020000,1.248158,5.397917,0.183181,0.962333,2.532455,-0.000000,0.027995
0.020000,1.267903,5.398495,0.202934,1.012982,2.532455,0.000000,0.030573
0.020000,1.288658,5.399157,0.223700,1.063631,2.532455,-0.000000,0.033182
0.020000,1.310425,5.399908,0.245479,1.114280,2.532455,0.000000,0.035806
0.020000,1.333201,5.400754,0.268271,1.164929,2.532455,0.000000,0.038430
0.020000,1.356987,5.401700,0.292076,1.215578,2.532455,-0.000000,0.041036
