dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.067182,5.145265,0.000169,0.016883,0.844152,42.207580,6.282813
0.020000,1.067212,5.145265,0.000199,0.001494,-0.769447,-80.679907,6.282933
0.020000,1.067370,5.145265,0.000357,0.007924,0.321486,54.546626,0.000016
0.020000,1.070014,5.145266,0.003001,0.132202,6.213899,294.620663,0.000462
0.020000,1.073715,5.145269,0.006702,0.185050,2.642415,-178.574224,0.001085
0.020000,1.078473,5.145276,0.011460,0.237866,2.640793,-0.081089,0.001880
0.020000,1.084285,5.145290,0.017272,0.290640,2.638706,-0.104324,0.002846
0.020000,1.091153,5.145313,0.024140,0.343363,2.636155,-0.127566,0.003977
0.020000,1.099073,5.145350,0.032060,0.396026,2.633135,-0.150992,0.005270
0.020000,1.108045,5.145403,0.041033,0.448619,2.629660,-0.173787,0.006718
0.020000,1.118068,5.145479,0.051055,0.501133,2.625706,-0.197683,0.008316
0.020000,1.129138,5.145581,0.062126,0.553559,2.621298,-0.220418,0.010055
0.020000,1.141255,5.145714,0.074244,0.605887,2.616409,-0.244419,0.011929
0.020000,1.154416,5.145884,0.087406,0.658109,2.611068,-0.267063,0.013929
0.020000,1.168619,5.146097,0.101611,0.710214,2.605252,-0.290788,0.016045
0.020000,1.183861,5.146358,0.116854,0.762193,2.598972,-0.313997,0.018267
0.020000,1.200138,5.146675,0.133135,0.814038,2.592234,-0.336898,0.020585
0.020000,1.217449,5.147052,0.150450,0.865738,2.585022,-0.360590,0.022988
0.020000,1.235789,5.147497,0.168796,0.917286,2.577362,-0.383023,0.025462
0.020000,1.255156,5.148014,0.188169,0.968670,2.569233,-0.406461,0.027995
0.020000,1.275545,5.148612,0.208567,1.019883,2.560653,-0.428994,0.030573
0.020000,1.296952,5.149295,0.229985,1.070916,2.551613,-0.451997,0.033182
0.020000,1.319374,5.150069,0.252420,1.121758,2.542137,-0.473778,0.035806
0.020000,1.342806,5.150939,0.275868,1.172402,2.532185,-0.497597,0.038430
0.020000,1.367243,5.151911,0.300325,1.222838,2.521806,-0.518957,0.041036
