dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.094900,5.672975,0.000169,0.016883,0.844156,42.207792,0.000339
0.020000,1.094923,5.672975,0.000192,0.001181,-0.785118,-81.463715,0.000245
0.020000,1.094976,5.672975,0.000245,0.002652,0.073577,42.934792,0.000033
0.020000,1.097362,5.672975,0.002631,0.119299,5.832315,287.936868,6.282865
0.020000,1.101031,5.672973,0.006300,0.183414,3.205764,-131.327525,6.282374
0.020000,1.105746,5.672967,0.011015,0.235769,2.617776,-29.399397,6.281746
0.020000,1.111508,5.672957,0.016777,0.288088,2.615908,-0.093398,6.280985
0.020000,1.118315,5.672939,0.023584,0.340361,2.613694,-0.110702,6.280094
0.020000,1.126167,5.672911,0.031436,0.392583,2.611055,-0.131950,6.279077
0.020000,1.135061,5.672869,0.040331,0.444743,2.608017,-0.151930,6.277939
0.020000,1.144998,5.672811,0.050267,0.496834,2.604532,-0.174234,6.276686
0.020000,1.155975,5.672732,0.061244,0.548848,2.600713,-0.190954,6.275323
0.020000,1.167990,5.672628,0.073260,0.600777,2.596446,-0.213360,6.273859
0.020000,1.181041,5.672496,0.086312,0.652613,2.591791,-0.232721,6.272299
0.020000,1.195127,5.672331,0.100399,0.704347,2.586715,-0.253815,6.270653
0.020000,1.210245,5.672129,0.115518,0.755973,2.581303,-0.270589,6.268928
0.020000,1.226393,5.671884,0.131668,0.807481,2.575419,-0.294237,6.267135
0.020000,1.243568,5.671592,0.148845,0.858865,2.569171,-0.312398,6.265283
0.020000,1.261767,5.671249,0.167048,0.910116,2.562574,-0.329838,6.263382
0.020000,1.280987,5.670850,0.186272,0.961227,2.555522,-0.352565,6.261445
0.020000,1.301226,5.670390,0.206516,1.012189,2.548138,-0.369240,6.259483
0.020000,1.322479,5.669865,0.227776,1.062996,2.540313,-0.391231,6.257508
0.020000,1.344744,5.669271,0.250049,1.113638,2.532134,-0.408961,6.255534
0.020000,1.368017,5.668604,0.273331,1.164111,2.523612,-0.426091,6.253574
0.020000,1.392294,5.667861,0.297619,1.214403,2.514645,-0.448377,6.251643
0.020000,1.417570,5.667040,0.322909,1.264510,2.505352,-0.464604,6.249755
0.020000,1.443843,5.666137,0.349198,1.314424,2.495651,-0.485048,6.247925
0.020000,1.471108,5.665150,0.376480,1.364136,2.485605,-0.502319,6.246171
0.020000,1.499361,5.664080,0.404753,1.413638,2.475143,-0.523126,6.244509
0.020000,1.528597,5.662926,0.434012,1.462926,2.464354,-0.539428,6.242955
0.020000,1.558811,5.661688,0.464251,1.511989,2.453150,-0.560212,6.241528
0.020000,1.589999,5.660367,0.495468,1.560820,2.441586,-0.578178,6.240247
0.020000,1.622157,5.658967,0.527656,1.609413,2.429618,-0.598406,6.239131
0.020000,1.655279,5.657491,0.560811,1.657758,2.417286,-0.616629,6.238198
0.020000,1.689361,5.655943,0.594928,1.705849,2.404525,-0.638007,6.237471
0.020000,1.724398,5.654331,0.630002,1.753676,2.391379,-0.657300,6.236969
0.020000,1.760384,5.652661,0.666026,1.801233,2.377819,-0.678024,6.236714
0.020000,1.797314,5.650943,0.702997,1.848509,2.363822,-0.699830,6.236730
0.020000,1.835183,5.649188,0.740906,1.895497,2.349390,-0.721629,6.237038
