dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.095069,5.172975,0.000169,0.016883,0.844156,42.207792,0.000339
0.020000,1.095046,5.172975,0.000192,0.001181,-0.785118,-81.463715,0.000245
0.020000,1.094993,5.172975,0.000245,0.002652,0.073577,42.934792,0.000033
0.020000,1.097203,5.172975,0.002455,0.110485,5.391619,265.902090,6.282865
0.020000,1.100625,5.172973,0.005878,0.171131,3.032334,-117.964260,6.282374
0.020000,1.105027,5.172968,0.010279,0.220075,2.447193,-29.257069,6.281746
0.020000,1.110408,5.172958,0.015660,0.269055,2.448987,0.089742,6.280985
0.020000,1.116769,5.172941,0.022022,0.318080,2.451244,0.112834,6.280094
0.020000,1.124112,5.172915,0.029365,0.367158,2.453888,0.132197,6.279077
0.020000,1.132438,5.172876,0.037691,0.416296,2.456942,0.152684,6.277939
0.020000,1.141748,5.172821,0.047001,0.465504,2.460360,0.170919,6.276686
0.020000,1.152044,5.172747,0.057297,0.514789,2.464246,0.194294,6.275323
0.020000,1.163326,5.172650,0.068580,0.564158,2.468491,0.212236,6.273859
0.020000,1.175598,5.172526,0.080853,0.613621,2.473149,0.232906,6.272299
0.020000,1.188861,5.172371,0.094116,0.663185,2.478185,0.251803,6.270653
0.020000,1.203117,5.172180,0.108373,0.712859,2.483677,0.274606,6.268928
0.020000,1.218368,5.171948,0.123626,0.762648,2.489492,0.290755,6.267135
0.020000,1.234617,5.171673,0.139878,0.812563,2.495730,0.311871,6.265283
0.020000,1.251866,5.171347,0.157130,0.862611,2.502399,0.333472,6.263382
0.020000,1.270118,5.170968,0.175386,0.912799,2.509396,0.349846,6.261445
0.020000,1.289376,5.170530,0.194649,0.963136,2.516830,0.371724,6.259483
0.020000,1.309642,5.170030,0.214921,1.013627,2.524597,0.388325,6.257508
0.020000,1.330920,5.169462,0.236207,1.064283,2.532772,0.408749,6.255534
0.020000,1.353213,5.168823,0.258509,1.115110,2.541363,0.429551,6.253574
0.020000,1.376525,5.168110,0.281831,1.166116,2.550268,0.445231,6.251643
0.020000,1.400858,5.167319,0.306177,1.217307,2.559599,0.466555,6.249755
0.020000,1.426217,5.166447,0.331551,1.268693,2.569273,0.483724,6.247925
0.020000,1.452605,5.165493,0.357957,1.320280,2.579351,0.503891,6.246171
0.020000,1.480027,5.164454,0.385398,1.372075,2.589764,0.520653,6.244509
0.020000,1.508487,5.163330,0.413880,1.424087,2.600601,0.541872,6.242955
0.020000,1.537988,5.162121,0.443407,1.476323,2.611780,0.558933,6.241528
0.020000,1.568537,5.160828,0.473982,1.528790,2.623361,0.579025,6.240247
0.020000,1.600137,5.159452,0.505612,1.581496,2.635307,0.597319,6.239131
0.020000,1.632793,5.157997,0.538301,1.634450,2.647669,0.618122,6.238198
0.020000,1.666512,5.156466,0.572054,1.687658,2.660399,0.636498,6.237471
0.020000,1.701298,5.154865,0.606877,1.741129,2.673554,0.657744,6.236969
0.020000,1.737157,5.153201,0.642774,1.794871,2.687125,0.678544,6.236714
